,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
512,한솔피엔에스,1.0,6.7086613613735274e-307,5.373866036930053e-308,2.0879981531155476e-308,2.467771232518341e-308,3.182315180859783e-308,1.3497483723383782e-307,0.749664245837194,0.07941375117452339,0.023221175448001313,0.006509682493406434,0.007748604229895036,0.005784876982074274,0.005230522990593107,0.0052596847650152965,0.006341206506210192,5481.0,2573.2,0.14
513,리테일앤인사이트,0.26649700799789616,0.663101127363826,0.02006537681561564,0.0066392690997561345,0.008790594148738904,0.012325938528449409,0.016577303620156716,1.0,2.0390984761050115e-307,6.981398026200354e-308,2.04007386759985e-308,2.3776162351098043e-308,1.8916315852119014e-308,1.7521194001022597e-308,1.764316551497213e-308,2.0379765868999346e-308,3524.0,182.6,0.64
514,이상네트웍스,1.0,3.3978340436905927e-307,3.552983577425718e-308,1.46856885806129e-308,1.672995785479653e-308,2.0522987239470314e-308,5.517013990485091e-308,0.5375650658702024,0.18936755021764068,0.02653820118567981,0.007203578404876929,0.00962974719275709,0.006448741488596889,0.005715507168489645,0.005787332907860186,0.007307372804778924,6265.0,291.6,0.29
515,디에이치케이솔루션,0.09269985886588764,0.12762225354793552,0.006022692907114683,0.0021581119193971746,0.002669243094338683,0.003968283388962396,0.005516383252115841,0.8636033661536381,0.03884487506550994,0.013059767215233106,0.0038441981200105484,0.00451289135577498,0.0035889657758977653,0.003331164446060264,0.0033605253534280143,0.0038718418525044004,5837.0,217.7,0.11
516,온라인팜,6.117845789223744e-307,1.0,1.3174953317486426e-307,3.539568604083627e-308,5.278462889345939e-308,9.445342346006004e-308,3.771246671384987e-308,0.2703319944076656,0.5612488290202157,0.07713565114427878,0.017091494728146164,0.02362366726555039,0.013144623456444812,0.01090801163781113,0.010938438318771363,0.015577290021116,5992.0,9165.3,0.1
517,페어콘라인,0.4687712470411564,0.1313832004407876,0.010495793405392213,0.004138232146336395,0.004892268731733985,0.006550724406827836,0.015908904687825444,0.4870429801825539,0.05823507982123484,0.017308848232064217,0.004974760679001135,0.005999658624712607,0.004570179902356127,0.004182582260452877,0.004222896202130134,0.004994158026281769,4972.0,445.9,0.27
518,해커스 교육그룹,0.5067955476168511,0.06157725670036547,0.006495755347471674,0.0026714170188764405,0.0030493491203570353,0.0037023818534606657,0.010223286994542021,0.7023370631600424,0.07918278922805325,0.023474983303969084,0.006543571062968035,0.007802525470666088,0.005785210533712611,0.005223205214120969,0.005247723091388447,0.006348527377561273,3350.0,24.2,0.95
519,동화세상에듀코,0.10221471123617455,0.7456006144578933,0.023010960649852804,0.006765233728266052,0.009931642860719424,0.02343761145340706,0.006071278522228204,0.6311935933659879,0.14039272873849387,0.038182356668774245,0.010220132464431698,0.012654915881531545,0.008833691104934958,0.007843902312529457,0.007878361573652988,0.009848274722823142,4682.0,1291.0,0.17
520,에듀윌,0.090583202658044,0.3412606225050431,0.05372882163601181,0.009581399412920237,0.017826058009089076,0.04698388644049434,0.005245105495656381,0.11422522038648979,0.13479000762498897,0.4129594301339503,0.03410376155484395,0.03519156083879792,0.01713587384178978,0.012404352163962271,0.01228913212368597,0.02258655275187587,3707.0,1556.8,0.58
521,메가스터디교육,0.11060760760613869,0.5090987397679692,0.02491343960913312,0.0065758185656375825,0.009912544660759642,0.01716204452617418,0.0067904133657486305,0.1144625342231297,0.0889916578082041,0.12217090951494673,0.1601224630576822,0.04031430101121251,0.06870876046595834,0.030732288523732963,0.02999549434713912,0.09339639931047802,3011.0,6225.4,0.51
522,대교,0.15107296337179738,0.5213635043532123,0.03296469594666701,0.008848320173090706,0.013266196464725558,0.02190485179665333,0.009175466838194571,1.0,1.2111480021467413e-307,4.535991709993477e-308,1.3675913738143026e-308,1.5504737443767474e-308,1.292170811931811e-308,1.2157850098415246e-308,1.2247709806220476e-308,1.373843972371053e-308,1928.0,65.7,0.33
523,이투스교육,0.5130663578342285,0.06853595676514078,0.006961384890357591,0.0028440667821824682,0.003267627117013872,0.0040394833255782995,0.01157696038787609,0.7483048600937141,0.06419870964636526,0.020495123366152505,0.00598905180073668,0.007107741300719918,0.0055607397236387725,0.005134747248073786,0.005183614817482972,0.006030158830133598,1284.0,1646.9,1.63
524,아발론교육,0.12023425272939499,0.3124942573486982,0.09179528122468605,0.016852823154246962,0.03614523066014676,0.27022287492849717,0.006937504664842435,0.5575685449118534,0.03863342950307237,0.013614384068352765,0.004042596333077908,0.00467776699947584,0.0037869934162355658,0.003531652460443802,0.003560513882930487,0.0040629743102372435,2607.0,299.2,0.89
525,한국산업인력공단,0.10363627093391216,0.5603652621618596,0.04139364870009561,0.00892205050162848,0.014862415324672177,0.02116802969702742,0.006416360948233449,0.442301593365912,0.03656318290874669,0.012531200258412185,0.0036434893173067895,0.00418659961892047,0.003313264574277165,0.0030519211343222443,0.0030672441553761956,0.0035698413835289957,5969.0,1100.0,0.14
526,한국과학기술원,0.20324189072022153,0.5966731958664392,0.02553688022542827,0.008017253680379272,0.011003822939443717,0.01740302703513572,0.01223332109938943,0.8724386694068,0.06713631654920094,0.02260221348890052,0.006584691997317667,0.0075934076234038285,0.006020323137284465,0.005550192618797825,0.005583403098161988,0.006490782080132772,11264.0,8843.5,0.51
527,파고다아카데미,0.19609814082181515,0.023493326707624034,0.0025890392158750258,0.0011012629834432524,0.0012243487469295504,0.0014668478628233593,0.003527259405642461,0.8977025614543317,0.05006549808908302,0.01889171033516243,0.005694307738875826,0.006426361938394252,0.0053718572211301765,0.005054364482345013,0.005088710045695429,0.005704628694981988,3697.0,212.9,0.48
528,디와이비최선어학원,0.48151489008457315,0.07979370393264015,0.0076500749961486295,0.0031275150589032195,0.003600032687957108,0.004575392314072532,0.01228356056086554,0.46258947976389564,0.07111508644141061,0.01983381040215801,0.005491967496656057,0.006627837935452658,0.004849387650985509,0.004357380979900853,0.004383822679980148,0.0053484019414812576,4493.0,67.0,0.6900000000000001
529,에스제이더블유인터내셔널,1.0,9.063266384238072e-307,5.76896729619278e-308,2.1783109241525623e-308,2.631743857608274e-308,3.613320733130229e-308,8.700037748305101e-308,0.8903291308606135,0.06427251405150658,0.016916749496940355,0.0048408212447642015,0.006049133897224788,0.004467353265605894,0.004071089682079665,0.004121574706430326,0.0049316327948346166,3916.0,216.4,0.5
530,멀티캠퍼스,0.5377177442071323,0.05895415439942885,0.006068695008370021,0.002464871619931515,0.002827021620832819,0.0034340100655627366,0.010898536551464055,0.17851477700460466,0.42828832330945726,0.07368545779780325,0.015388897076562776,0.02670027465899495,0.011981580504154933,0.0096818675013825,0.009748741909248897,0.014758996355531715,3854.0,2958.2,0.16
