,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
1550,미르기술,0.20976776869599018,0.1708494289069157,0.06725166778967204,0.5055594837866157,0.04039131678891557,0.006180334031890664,0.4501024769839797,0.055770928198864915,0.015253535071676042,0.005870342021191709,0.005923598209595185,5036.0,365.9,0.36
1551,엔케이,0.8887203333916696,0.04208307592388119,0.02342212853403391,0.009384228049141016,0.008565615291660148,0.027824618809614076,0.7852634724583326,0.03535850529671788,0.011861689307279447,0.004960029549119166,0.00507129069641306,3440.0,129.0,0.41
1552,태림포장,0.8625793649382647,0.04816017913232732,0.035011056688254966,0.00836987191025768,0.006318306697662465,0.008859935708768021,0.9055729667254376,0.0354108515862989,0.011232516856423604,0.004554660307082839,0.004646651242110557,6013.0,6583.1,0.23
1553,한국훼스토,0.45588147011415375,0.02820298957928729,0.016985635038682764,0.004840670320470353,0.003713739251878079,0.005724436802806801,0.45882242468472784,0.058892900001883186,0.016615094187154456,0.006538692835557782,0.0065687843900601285,6032.0,1086.1,0.17
1554,해브앤비,0.5736550697033154,0.07616109003834387,0.0708363554365623,0.01205061775557303,0.008606152768140593,0.008472360907780009,0.47382215576466297,0.1707951775150373,0.03378542699429471,0.011948272783913689,0.011900009378991152,4917.0,6072.3,0.37
1555,옵트론텍,0.26091267196573414,0.18096801221604303,0.06198330651166005,0.025863401632486478,0.015210928974390097,0.0073339858290047905,0.566480497188282,0.040129928691603194,0.012535993734059614,0.0052103220422992915,0.005254626360404728,5194.0,1107.5,0.67
1556,남양넥스모,1.0,9.747226715675248e-308,5.800121137983153e-308,2.0533135956006445e-308,1.7992561989523514e-308,1.1792992506693173e-307,0.8270709004055582,0.11840851485060938,0.031225516874795613,0.011585774171286764,0.011709293697749886,6032.0,3515.4,0.09
1557,양지사,0.223890425353747,0.2625632111953048,0.07400319814974926,0.1035032261599788,0.0266495672484192,0.0063404259489481885,0.8146944660206457,0.030828779907387492,0.010962615302108967,0.004857722109339846,0.004933638470008544,4105.0,55.9,0.34
1558,삼보모터스,1.0,6.417926797809865e-308,3.5580322522475484e-308,1.4014893521188153e-308,1.2647106321925067e-308,5.675361957792416e-308,0.2183953892798889,0.28991998554066556,0.052626679555174985,0.013692432217914382,0.013756759224449452,7407.0,3041.3,0.11
1559,에스에스엘엠,0.790353252234879,0.03265614680746134,0.018401034309984264,0.007177701255139049,0.006484058369350103,0.027303589688483645,0.49162401721685717,0.02643025722450049,0.009371870896088392,0.004106911628802685,0.004186168763471104,5304.0,1700.5,0.24
