,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
1833,웅진식품,0.12412691512797747,0.17683145773733763,0.15556183291549022,0.012660079006232604,0.020599609915338636,0.035859880197607885,0.03292406225040015,0.006001436318602811,0.13615085184559664,0.1515785627844843,0.10947142996768329,0.03142459370847438,0.032265667223392636,0.009488343545968014,0.008033982656482457,0.007858659680632329,0.011913486437315643,5984.0,2417.1,0.15
1834,유풍,0.7109750988028928,0.13918744829137597,0.015187747947356275,0.003764483501708097,0.004298220292995467,0.005577441033141226,0.0065399579636512195,0.01720549943734368,0.5070363079345261,0.04115882997044289,0.011478242466471524,0.010740740458276629,0.009793403650208397,0.0044381185023514794,0.004111016651776924,0.004157747966069372,0.004709134332237601,6032.0,3265.3,0.06
1835,조선내화,0.1282182878061016,0.12396452149490918,0.42934563529512965,0.022062675819872153,0.05441006204420131,0.03713013638143451,0.025143037835355438,0.006311630965771918,0.5986536330427216,0.03186338137059495,0.009622023805408119,0.009258127594967816,0.008470203651271657,0.003954925271059247,0.003710275541271041,0.003755580399723825,0.0041367394985603505,8722.0,4394.4,1.48
1836,쿠도커뮤니케이션,0.5248653942731963,0.04005724430794368,0.007824874576575007,0.00213960658423155,0.0023514655568641165,0.002831555101700768,0.0031714084698457184,0.0075637358723636494,0.5406926418050431,0.048590301435332585,0.012700538961904604,0.011539892457815913,0.010511353900860068,0.0046449234976020885,0.004267997180046781,0.004306924024066253,0.004984614753773565,4748.0,874.9,1.05
1837,한국내화,0.7359741020454004,0.06263309250396533,0.01163987358393093,0.0031550820729550786,0.003479253252004127,0.004224024840490949,0.004744707251781137,0.012665952082934754,0.5718942773322028,0.04404925447192652,0.011996438704823763,0.010837637107691048,0.00999056185834095,0.004418332618718656,0.004081722624868436,0.004109274174676142,0.004729387557939048,6349.0,2180.3,0.14
1838,한국석유공사,0.42316496152655203,0.09502228225800904,0.013166557239456894,0.003254361431790941,0.003736331350505684,0.004886477865202398,0.005991788723878234,0.023749643100904726,7.268499203888616e-307,6.699581015193052e-307,1.0,2.272094680106118e-307,2.7791285843952338e-307,7.0377956333940565e-308,5.845793198262878e-308,5.67921747749442e-308,9.307226684944646e-308,8570.0,3921.8,0.07
1839,경신전선,0.20792038591926282,0.2673803525770155,0.022246168228641422,0.0049245434549793484,0.005846705629587782,0.007977527738231767,0.00988071919890184,0.011210030332683429,0.759731992936126,0.04956765246055967,0.015252322158577991,0.014365880461191641,0.013416995362834328,0.00617306820217346,0.005799053954015994,0.00585049577189218,0.0064803309125559105,6032.0,6473.1,0.1
1840,범천정밀,0.5224491449639931,0.13159112613459198,0.015092554563270352,0.0037148952831755704,0.004254967887563587,0.005537608436317766,0.006630710357607342,0.026944945782218194,1.0,1.6938219584638428e-307,5.107122492404682e-308,4.823054013174384e-308,4.455777816519166e-308,2.0522472077459184e-308,1.92373897416587e-308,1.941722736884608e-308,2.156417928778463e-308,4572.0,1560.1,0.51
1841,일삼,0.1854624510531409,0.29466096593740676,0.02031256644397442,0.0043670381090953276,0.005279214725720096,0.007751882489568885,0.010561472246369915,0.010153608899352119,0.6047228379744125,0.0673171340691406,0.014499762624567607,0.013663134094218338,0.011711844369314347,0.005214157279273311,0.0047150379026892385,0.00479017918297435,0.005628827048249037,5196.0,720.1,0.14
1842,엘에스메카피온,0.1816637457916843,0.2772919555552748,0.02057955310455402,0.0044676323948591445,0.0054083990132562975,0.008152159279600234,0.011083292253521202,0.009645429605692368,0.8550475691923929,0.05678815912959016,0.013774189082504693,0.013407186386028,0.011536988231397297,0.00529489039183303,0.004834585356128284,0.004925583632638731,0.005636278529432146,4705.0,452.2,0.19
1843,한국석유관리원,0.13502711173665252,0.2664808840379709,0.06956306090151196,0.009296520324355224,0.013043452702637535,0.02050930549409395,0.02760503319813052,0.006704701393591461,0.3263600091994477,0.10775460567654399,0.020795183412018255,0.016535344044769112,0.014802013794643493,0.005920364148708033,0.005268022467863653,0.0052779557704521,0.006647189298141161,6356.0,434.6,0.19
