,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
175,디엘건설,1.0,7.777215615400583e-308,1.512723087157361e-308,2.506292324278047e-307,2.342631937020494e-307,1.167985639219463e-308,1.530762656645294e-308,1.6912694412553597e-308,3.361413891676243e-308,0.9635469552898779,0.01292093330734148,0.012161410993635324,0.002875847707462142,0.0030729068967155766,0.0026820632332595525,0.002739882571708203,2448.0,6.5,0.27
176,듀어코리아,1.0,7.500163154213649e-308,1.45205502991853e-308,2.4262432053523097e-307,2.2599463147707287e-307,1.123559647017949e-308,1.459376720107372e-308,1.619097057831105e-308,3.486072967474034e-308,0.8654676672105966,0.017075906319266566,0.017284594364825358,0.0037561998905342978,0.004066302065085837,0.0034602147235242115,0.0035541166052261513,6032.0,920.3,0.17
177,금성백조주택,1.0,7.651826370617464e-308,1.4936320219035354e-308,2.4497111157687605e-307,2.268502965925086e-307,1.156610831382922e-308,1.511659740338867e-308,1.667602251994809e-308,3.263214653150404e-308,1.0,7.658230634098159e-308,7.758443666228626e-308,1.677221439052067e-308,1.816474384405148e-308,1.5443299890802643e-308,1.585340956426789e-308,6032.0,4775.0,0.58
178,대혜건축,0.7541826485603953,0.020482866984996573,0.003799263632363301,0.07155688710996233,0.06769519913383641,0.0028024741700332497,0.0038047604734639706,0.004251453645336951,0.010271058221624316,0.6788623550482653,0.03303919834506405,0.04356979566725756,0.0065070884437279,0.007355612704015537,0.005771691721220652,0.005951320664136055,4835.0,1466.8,0.6
179,제일엔지니어링종합건축사사무소,1.0,8.79420069351797e-308,1.6835307829551844e-308,2.905489107532049e-307,2.691417803259129e-307,1.2733869948885735e-308,1.695909877749111e-308,1.8776328585488383e-308,3.8973187296549454e-308,0.7792035212960318,0.021051430091141802,0.02005392615592623,0.004612690828988569,0.004946763449549371,0.004285777289899753,0.004375125573776919,5666.0,854.1,0.29
180,포스코플랜텍,0.2715944598767134,0.021906979509036802,0.003537068112075803,0.11323189419902746,0.15455248215204787,0.0024274218866915534,0.0035966790088074055,0.004160505857394032,0.014769136338674747,0.8794895140969166,0.022622453749998096,0.022115074379170235,0.004882283517403283,0.005272274397168413,0.004504643050797407,0.004603707742922904,6697.0,3393.6,0.13
181,한방유비스,0.49307838978534585,0.018766656218427897,0.003663693912929435,0.060032243811703696,0.0553539838259511,0.0027933735411381257,0.003682288935744369,0.004074968862369695,0.008104439486610167,0.5642045046901657,0.026732572818763782,0.032334686462410334,0.005223509465908944,0.005870335944508075,0.004655440320363344,0.004778387232222108,4042.0,191.2,0.22
182,은민에스엔디,0.3010896985288601,0.028390825703502997,0.004549740022617626,0.14722382416937885,0.23278186647428573,0.003107561220655919,0.004634413184733838,0.005394181917930477,0.018919519192987122,0.5925425053784079,0.01778699157275237,0.018236924971744492,0.003617506368619145,0.003977138654669254,0.003279755057446502,0.0033512813402869837,5061.0,1647.1,0.29
183,경호엔지니어링종합건축사사무소,0.6374223335416352,0.02335597752188045,0.0039342047828744495,0.10674638434258488,0.14706471488196415,0.002762982128223604,0.00396357039779528,0.00455911370809545,0.017527958839620043,0.36736097775946264,0.11697020904529713,0.27339468208447026,0.015263037654203492,0.02058178787851546,0.011874555716319388,0.012421388245979126,5842.0,764.7,0.24
184,대우조선해양건설,0.8398037917557439,0.015342052021072666,0.002746959177685796,0.05754082709198639,0.0561659278372975,0.0019977652225263917,0.00274095141151013,0.0030942425363475134,0.009267530156472937,0.5045651661660567,0.017294653423609762,0.018517009299040297,0.00348579297513757,0.003851949006066568,0.003148521098987953,0.003220573345059607,6032.0,3402.0,1.24
185,계선,1.0,1.0533226639039584e-307,1.930881901036663e-308,3.809466289113201e-307,4.5568208714516374e-307,1.4175177451649407e-308,1.963479698711546e-308,2.223709785954265e-308,5.380043629372778e-308,0.7045469851255899,0.08418073776961982,0.088361335723725,0.012506214095215087,0.015191843617753803,0.010445465677668127,0.010721028895635601,4512.0,879.6,0.37
