,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
2142,고려제약,0.8690071803240925,0.07581904326169489,0.023991135421313828,0.018149695564793736,0.007200790121826925,0.00583215530627788,0.8995730908204056,0.019824862344961253,0.011276031704125427,0.006652191669215354,0.00522812357820175,0.0056480062265723005,0.004807690757200775,0.004871903085198022,5328.0,744.7,0.19
2143,부산대학교병원,0.8670513797764952,0.0766123333529344,0.024530906820360895,0.018493529787386304,0.007354961480937607,0.005956888781885595,0.7487596172515851,0.019305830786245832,0.011306909295495311,0.0064693809694853265,0.005305886534920116,0.005661224775013218,0.004944675112880688,0.00500525767445653,6401.0,9281.1,1.01
2144,삼천당제약,0.8822728841269634,0.07921200598026273,0.01666076923064633,0.013509187580587605,0.0047021093915108865,0.0036430436900291444,0.23273791607615235,0.34807157417066203,0.038684595781499,0.018561140886044592,0.011395543712148475,0.013654660806939473,0.008528431634128343,0.008408027665192448,6222.0,1208.7,0.25
2145,메드트로닉코리아,0.6724473959782847,0.055890211949824804,0.014408329470560276,0.01142488806352012,0.004235201680715655,0.0034058285752102,0.9572321299010286,0.015120135291602754,0.008078972271037089,0.005200753115836757,0.0036533932504504924,0.004081633409581928,0.0032515707663990506,0.0033174298792604,6032.0,4225.3,0.16
2146,드림씨아이에스,0.03316889792214525,0.05850856703910181,0.05365798422697829,0.02411954941615671,0.011319710721059603,0.006117913106306626,1.0,2.211123406073512e-307,1.061282196992813e-307,8.284811818681357e-308,4.67531178950269e-308,5.518708130769336e-308,3.9697553252381007e-308,4.071266438893978e-308,4778.0,261.5,0.19
2147,현대약품,0.6640405269701758,0.127050281980539,0.029959919490462388,0.023856621557054054,0.00855194472856886,0.006633260507178601,1.0,9.950435020188093e-308,5.496786072034655e-308,3.4623426551534006e-308,2.5360008626515215e-308,2.803096228486322e-308,2.292158762452424e-308,2.3394182126176987e-308,3783.0,45.0,0.5700000000000001
2148,녹십자셀,0.2537692433316442,0.43928356028848425,0.042302824797587256,0.033608717280175754,0.01111160135181085,0.008411578402837344,0.9153080861764109,0.0303219088774125,0.015818344591475825,0.010633770748166876,0.007133032772722016,0.008066565113456936,0.00629140455648038,0.006426887163874485,6901.0,1200.0,0.28
2149,로킷헬스케어,0.7871916728835188,0.11510599487889608,0.03719994634879664,0.028160061512478612,0.0112317798063904,0.009062939862478267,1.0,3.701705483646322e-307,1.3687612349805712e-307,9.988907778334203e-308,5.286954662192159e-308,6.306071185777132e-308,4.2434372079532153e-308,4.2840495480638626e-308,4846.0,36.0,0.15
2150,삼일제약,0.8534581695864766,0.08714990737962997,0.02554869530891555,0.019988301967347837,0.007615750624372421,0.00623917513325763,0.9001152494800446,0.021928244965832733,0.011601238354166873,0.007421604326824526,0.005201328123299962,0.005809573411155562,0.004614004055202649,0.0047005002953591675,6076.0,1339.6,0.18
2151,경남제약,1.0,3.965725789614e-307,6.490795432458411e-308,5.466462504360935e-308,1.8138882320965517e-308,1.3847241938520257e-308,0.5869029681355175,0.025235197906068492,0.01284296033909312,0.007960865873406726,0.005575796137170301,0.006207887093093412,0.004893672498187652,0.0049530816749755,4682.0,650.7,0.26
2152,태준제약,0.9314433711773656,0.040534398792902895,0.012060803751892784,0.009399711800058486,0.0036033891633442724,0.0029583253144361684,0.75477920952433,0.021135518926057254,0.011556835224871153,0.006942648889856654,0.005222006125161759,0.005708019873483609,0.004713993541977871,0.004775911436963952,5627.0,1023.3,0.18
2153,휴마시스,1.0,2.231655707864338e-307,5.412460156601927e-308,4.430623524570844e-308,1.5654384868217116e-308,1.219550450061266e-308,0.8738992047233269,0.024813822431074696,0.013554691410479897,0.008616448748513845,0.006235640052928944,0.0069092701762427594,0.005621338704947838,0.005731056084978769,7193.0,3074.8,0.85
2154,사이넥스,0.7598009339434277,0.09291110816249228,0.02984597640969692,0.02271300376555442,0.008993224929096343,0.007242534865476846,0.7743481606245897,0.059809226263341335,0.025125954289386587,0.018376770427333485,0.010208645373624214,0.012043063862045199,0.008409840505863036,0.008532021782722313,4743.0,472.5,0.32
2155,글락소스미스클라인,0.3891905289615872,0.06425880990090324,0.017401266387950552,0.013393687461942964,0.00513415317012629,0.004506309945351499,0.16024066101831105,0.05228126732534535,0.060861252727907045,0.022003143827994218,0.21225905855263932,0.08356072562381109,0.04155381900062803,0.04247817479567736,6032.0,3044.5,0.17
2156,유바이오로직스,0.6795986563261807,0.11794288661125327,0.03540235976475276,0.02691454144426666,0.010503153080755624,0.00836610564288075,8.91746503420157e-307,3.1194202078882294e-307,3.112827114362243e-307,1.549032931492435e-307,3.294269840350211e-307,1.0,1.4313360176507267e-307,1.5264221735067533e-307,4220.0,393.9,0.65
2157,대한뉴팜,0.21433550849657249,0.5068029536715462,0.04334237870054588,0.038244912095143954,0.010883649467954164,0.007726512283370909,0.1992488356109226,0.09760882357103247,0.4241854566426223,0.023539336996401133,0.038979523730623515,0.04184205573645826,0.022367619434107144,0.020565650865028283,5825.0,1665.9,0.13
2158,세이브더칠드런코리아,0.814393031531631,0.10847508973760529,0.027982962167339066,0.021682444577480108,0.008146571691151875,0.0065089132728847745,0.7090930355605786,0.11318007514694317,0.04262164239706938,0.0373644336410577,0.01682671736571358,0.02081217826307599,0.013266242405228551,0.013471984998751602,4267.0,670.0,0.23
2159,디알텍,0.2521990298801126,0.5333020344242607,0.048396360985052414,0.04446761518970216,0.012622792164335142,0.008915367420927382,0.6853851912489177,0.01511162939113394,0.008660071520406605,0.005159832978454271,0.004052002287983718,0.004384575843946608,0.0037370840539905294,0.0037971794235375973,2282.0,104.7,0.63
2160,한미정밀화학,0.08294196083439809,0.09863367704358417,0.36789672503468746,0.06305303791052172,0.10249685745566729,0.023665748743548532,0.7524123047616695,0.0626963906180962,0.027519251373837105,0.0175224190923787,0.011154368214688145,0.01270766713472561,0.00938708172264981,0.009449784957321301,5498.0,871.6,0.13
2161,삼진제약,0.26554279176038226,0.48396188269155377,0.05193001111711561,0.04189181235706443,0.013391463448599638,0.00947443780290093,0.6159499975469537,0.07844023922276633,0.029584358783054508,0.019576119861999728,0.011278947642009467,0.013205359879237238,0.009131710376411613,0.009205545449695872,7992.0,2500.7,0.1
2162,국립중앙의료원,1.0,1.181892751226959e-307,3.659547553907006e-308,2.7537232884589837e-308,1.0912790230174986e-308,8.827938884505147e-309,0.6370766944324471,0.028887850218612232,0.014842061219113523,0.008938225393363027,0.006439336121325662,0.007106388397126263,0.005680727712394757,0.005731069813801961,6822.0,1127.8,0.24
2163,아산제약,1.0,1.1814095375054252e-307,3.660426692566996e-308,2.758955755233791e-308,1.0926263739338006e-308,8.843173773879675e-309,1.0,7.092881518694625e-308,4.115674697238576e-308,2.4050715002157886e-308,1.9334022125432664e-308,2.076630229184868e-308,1.7949358928771077e-308,1.8204617314205e-308,4633.0,745.1,0.18
2164,한국프라임제약,0.6210309054448188,0.1628693244145265,0.027264154049526104,0.022464365427476818,0.0075577969036309135,0.005666862787795313,0.8836689839743502,0.0238206790785584,0.01335371757738046,0.007977255136884244,0.006139086000346491,0.006673636651563466,0.005602377206746668,0.005683207804501805,4757.0,1250.2,0.2
2165,CMG제약,4.579654915941174e-307,1.0,1.0205039596371367e-307,9.309479036569447e-308,2.591137343939012e-308,1.8229038518674275e-308,0.8439879489402877,0.024273948892334807,0.01387893826623002,0.007968593160124327,0.0063793566234375005,0.00685029063275489,0.005866642331569248,0.005934363303728946,5560.0,586.2,0.36
2166,에스엘에스바이오,0.7582936771835339,0.12653846781339564,0.037714288867781026,0.028840316856263558,0.011221112807888432,0.00894657090964726,1.0,1.21160869419231e-307,6.281793931238449e-308,3.65360209876415e-308,2.703091849051717e-308,2.9603067647715077e-308,2.3886483087397155e-308,2.4055627981780885e-308,4512.0,82.4,0.78
2167,메드파크,0.08057573790254138,0.08162270231526,0.1504867167467225,0.053377174242362754,0.43728436353899636,0.04807030152368894,0.735116694529167,0.023916251208331196,0.01296966033620258,0.008285964022138985,0.005949174128140318,0.00660339851856188,0.005350018957772559,0.005451257759386662,3738.0,63.7,0.74
2168,아주약품,0.04212219263341352,0.05135815350290384,0.7954317578221521,0.04035974322143017,0.03067167064255116,0.009962775463264574,0.4738720395724848,0.12330647487981798,0.0371700249498091,0.02724222294305643,0.013395950282653814,0.01630969496782868,0.010364756995271717,0.010436474906827486,5514.0,1278.7,0.25
2169,알보젠코리아,0.07176748730775344,0.08706937713335501,0.6010474507980357,0.06689921610855917,0.04362833435823656,0.015790886059830297,0.8990098659084765,0.022622731932064835,0.012806539403350888,0.007659418353778179,0.005928268293345418,0.006440567688322033,0.005427677106560158,0.005515294301257108,6645.0,2319.6,0.11
2170,메디포스트,1.0,2.736741525314012e-307,5.9088888679223e-308,4.877776935619549e-308,1.6612911546205713e-308,1.274285575244242e-308,0.8887318951697872,0.03766898211473287,0.019446964957531315,0.013169674207729746,0.008686398738957591,0.009872540234980513,0.007605247536195256,0.007775759600770505,2818.0,549.1,0.26
2171,에스텍파마,0.07736247288189091,0.08027450846730143,0.1623084759531061,0.05731734753278388,0.383282635334107,0.03614955345562657,0.8816211430698982,0.021793421101298293,0.012373368443754789,0.007395022709042421,0.005743568055253823,0.0062335015236822415,0.005268519786007221,0.0053529768406644414,5441.0,602.9,0.23
2172,충북대학교병원,0.1935234633002274,0.45845124301663354,0.025983994939728628,0.023256300777188203,0.006851857481774527,0.005366978332351288,0.7893840990043419,0.024641723500244968,0.012957842323713864,0.00834083512174894,0.005801479941245848,0.006490646193048558,0.00513869723826461,0.0052333102192103605,6673.0,2917.4,1.44
2173,파마리서치,0.19049683857371413,0.5569358545916016,0.09481660372370145,0.1228321181936898,0.02110520464696486,0.013813380270328036,0.6081297606177866,0.01573492566693043,0.008865768565707585,0.005228191413430782,0.004076660415290461,0.004412105228431414,0.003731111976726711,0.00377873342992681,5177.0,1385.6,0.2
2174,대웅바이오,0.23046093531743497,0.5397753672451727,0.049270750687063665,0.04067011630509197,0.012348229288012573,0.008764774575213104,0.22879343202939004,0.09328984664313217,0.1217126228032811,0.03584212662327781,0.09278104569877503,0.2564615830677995,0.034789806034916236,0.03448924389856796,6032.0,3892.0,0.2
