,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
1907,제일기획,1.0,1.6163761503318432e-307,6.792136015082178e-308,2.078713050305096e-308,1.7776325624896163e-308,2.5992117667741047e-308,0.9116121732093534,0.0403386465138779,0.01684515366370358,0.007878448957615736,0.00852729712533909,0.007309958546780985,0.007488321983329276,11737.0,1000.0,0.14
1908,한국방송공사,0.6840564088323537,0.06917598696644915,0.02362369881234496,0.00712975443345046,0.005821390590533667,0.010045190393517964,0.3042315878957241,0.2585215191680536,0.05889006270313815,0.018797436576684413,0.0233171154151564,0.014859018367113378,0.014995403059174002,6082.0,1500.0,0.15
1909,메가박스중앙,0.6486538488597932,0.03958857014213207,0.015657768573038106,0.004833701395884949,0.004016621806256275,0.006341759747924584,1.0,1.2871458800689931e-307,4.748967672845971e-308,2.082924877067351e-308,2.3422320861357156e-308,1.856442867652524e-308,1.903414826371302e-308,2442.0,1039.7,1.97
1910,천재교육,0.7642215506057196,0.06828339398072526,0.022147792820744715,0.006605195862675434,0.005165882618689822,0.009219020292129202,1.0,8.3752086708449e-308,3.4298408687597815e-308,1.565061285898238e-308,1.7044135670038234e-308,1.438720821334561e-308,1.468429099398797e-308,4338.0,1217.4,0.45
1911,비상교육,0.6709357630227549,0.022427757198705912,0.009860630709589355,0.0030702260562869605,0.0026163296789912206,0.0037885962365719985,0.8929960287890392,0.04874055887927747,0.020417215383693385,0.009544490897795983,0.01031570212244981,0.008863223122928053,0.00907335218672231,3909.0,1677.4,0.2
1912,이엠넷,1.0,1.1732972513831761e-307,5.156576677908327e-308,1.6420772711721866e-308,1.432549211124138e-308,2.044404752985492e-308,0.6887487449554109,0.036484668085234796,0.014433899453174102,0.006507830619660652,0.007158660929121849,0.005918882007288457,0.006056316123165464,3223.0,324.9,0.27
1913,교원구몬,0.16433999168581706,0.10061097571908605,0.13908792501409212,0.13172540643972072,0.02639655727860649,0.03657833075837601,0.6525787047912448,0.03522637671966448,0.013710405930366876,0.006154836114524613,0.0068082654938271875,0.0055719219527231995,0.005707944137932133,2608.0,6262.9,1.12
1914,에코마케팅,0.5409037301680877,0.033118701977322716,0.013715375373859523,0.004309824846505727,0.0037579718540824967,0.005541139514802536,0.5933503472627161,0.10608227684961354,0.03194909024792397,0.013954333593027744,0.016714325371643288,0.011918774755256734,0.0124535762812831,4736.0,474.9,0.5
1915,시대고시기획시대교육,1.0,1.0441784039150912e-307,4.85806778299726e-308,1.54407744160441e-308,1.3526969759103055e-308,1.8502773338398033e-308,0.7649197306853812,0.021987240109502187,0.008935571186011498,0.004078471575238631,0.004451017441428526,0.0037419033264236273,0.0038248514728352217,3410.0,257.4,0.31
1916,에이엠피엠글로벌,0.29598888055895634,0.5218393875512115,0.03440767670751681,0.01021658195518946,0.007357219912862225,0.020665466631390662,0.7546781981328051,0.05643491607756168,0.019312044388852995,0.00837569464924357,0.009590217864349892,0.0073483011062648726,0.00757415176476897,3854.0,445.5,0.78
1917,에스비에스,0.17529279743946566,0.5619516289102233,0.10015319513141314,0.021010583683793216,0.01037919259739195,0.0444144329928954,0.3994618467757244,0.290269349636695,0.07344144646910752,0.023062270230716202,0.029796081085391585,0.017670578563150737,0.018011063687716662,11735.0,9098.4,0.16
1918,미디어윌,0.7395358831823289,0.04169266424566259,0.018772345549712806,0.005951964466454292,0.005145850673514671,0.007284172653720713,0.6063771545584192,0.11684490962693685,0.034720010557698223,0.015170608372000727,0.018255390484588793,0.01291975751979122,0.013516859198610235,5289.0,726.5,0.39
1919,피알원,0.9122990303387207,0.0449168803673811,0.02164561939925368,0.006916610033728401,0.006121207347133384,0.008100652513782695,0.6443483447392941,0.029065163101031938,0.011529547273267854,0.005203538871112947,0.005742524071476273,0.004732443918591524,0.004839552992158725,4434.0,322.7,0.39
1920,프레인글로벌,0.876355231235333,0.03261781744423896,0.013108552010765887,0.004021566320433556,0.0033614209543013822,0.005206180544961903,0.24556136594014616,0.2541730733116641,0.07527137135742512,0.021838711694260014,0.027746672045420293,0.016701007562197865,0.01687428102894536,4155.0,500.8,0.39
1921,대학내일,0.7492751817015108,0.04978089646143913,0.019108924042409436,0.005893237488683872,0.004861046239681941,0.007860364837256412,0.4670140555343821,0.2510545570830397,0.06549625489386685,0.023347730087944954,0.03050668449664816,0.018213554239256097,0.018778285056155274,5993.0,771.8,0.19
1922,한국교육방송공사,0.8368987292521476,0.0326086804171179,0.01302373901724577,0.0039948266559043585,0.003333594929511008,0.005187347486707736,0.11712558926845576,0.12297725785267533,0.5084176060756237,0.03441437810601952,0.04191716778613799,0.023049228172687813,0.021685700021180213,6032.0,3444.0,0.15
1923,플레이디,0.46409640672274355,0.022229684056351024,0.0094731425826465,0.0029826136893246233,0.0025383095897830417,0.0037707200324852952,0.9127950066170375,0.03947709512833997,0.01677778550121542,0.00782083692331845,0.008401841266972888,0.007290308490638775,0.007437126072477079,4429.0,346.8,0.26
1924,애드쿠아인터렉티브,0.3169000490043778,0.475742552828348,0.035806355026608824,0.01052221771750772,0.0075644805482949174,0.021074593902844132,0.814143946355592,0.030601367020923857,0.012343361388828255,0.005613074626426795,0.006141606545713317,0.005136829677159832,0.005251572645694882,4399.0,241.0,0.53
1925,차이커뮤니케이션,0.4939700433607009,0.02159648299828443,0.009652082201406474,0.003027993830849437,0.002602721914577246,0.0037095438389979194,0.576469777927147,0.05229291997241229,0.018265662311961736,0.008195429572334751,0.009405327767819759,0.0072316789573342,0.0075085704967427155,4375.0,463.4,0.39
1926,재능교육,0.18645319603087745,0.1411376758709752,0.46068347602996307,0.06872822295433513,0.020681262488568518,0.04156993770333526,1.0,1.212130952136726e-307,4.555938049174964e-308,2.004470385673402e-308,2.2422864220803954e-308,1.7943673804986916e-308,1.8369489788768674e-308,4324.0,1490.1,0.3
1927,천재교과서,0.21745653324051706,0.2926902830335079,0.13484766260998382,0.02857703210571153,0.013299929739659787,0.049866108094764626,0.2073941679535282,0.3291981796772383,0.09903627672275969,0.024405845359361834,0.031765837767456624,0.018198542497361022,0.018195645832154328,4581.0,2212.0,0.32
1928,엣지랭크,0.9073746430762668,0.039369186243522786,0.016376015191383,0.005122422826261013,0.00432961144277865,0.0065680323443911654,1.0,8.311834760302234e-308,3.3200709159918064e-308,1.494978553543363e-308,1.6442367896902036e-308,1.3618434981431404e-308,1.390411236062807e-308,3680.0,313.0,0.71
1929,매스씨앤지,0.8130372229137944,0.025401116206752034,0.011282202873632763,0.0035302661144438574,0.0030437936960920975,0.004337981976016426,1.0,1.1000601273055379e-307,4.1950326067176295e-308,1.8428950353655574e-308,2.0489016105192534e-308,1.655166892670428e-308,1.690887409197303e-308,3578.0,110.8,0.5700000000000001
1930,대홍기획,0.8826807129947685,0.04681012032088608,0.01783725681529965,0.005521833609808121,0.004565671365051978,0.007407620459430943,1.0,2.4392684986013396e-307,6.709315249128855e-308,2.868165927279955e-308,3.448455531686568e-308,2.4286171028388873e-308,2.534143851478598e-308,6032.0,2441.7,0.39
1931,케이피알앤드어소시에이츠,0.3364077004950732,0.49610627413818387,0.03674639880817567,0.010805959558143625,0.007797822093550989,0.021303839097425455,0.5126730119879672,0.27791044374522267,0.06957454397675414,0.02620355898779488,0.03372547146550231,0.020843818469785568,0.02157510387960667,4632.0,244.7,0.43
1932,인크로스,0.16547145813569414,0.08136015186547065,0.01490325885067239,0.004399571658989543,0.0033576300743205084,0.007928435707537996,1.0,5.211347480051436e-307,1.2466395203732338e-307,4.2991207275854155e-308,5.328418187024908e-308,3.4220680554673344e-308,3.4957309956780923e-308,5266.0,484.2,0.32
1933,디노마드,0.24717043185674928,0.019390140412284394,0.007417863404653816,0.0023158984380873895,0.0019801908011841556,0.0031172623935351255,0.3975137224224976,0.3116870420037138,0.0757578823158405,0.023708184375375245,0.030253169143290137,0.018329554650073483,0.018606660323456797,3394.0,152.1,0.89
1934,나스미디어,0.774689015698631,0.03226803968218813,0.013836366616169781,0.004359885114801125,0.0037359766901368845,0.005491265139632525,0.5452341627567824,0.061244840066795425,0.020827610308457367,0.009334116414167202,0.010845912147929232,0.008175830519401779,0.008511497248262891,5734.0,887.3,0.25
1935,NE능률,0.6047864013701187,0.06448879184216615,0.022944112598963118,0.006888610594241148,0.005459933875199646,0.009176110984280061,1.0,1.2994805174453535e-307,4.677396012589025e-308,2.0835453976093704e-308,2.361815465935119e-308,1.850844369847631e-308,1.911083230705441e-308,3428.0,778.2,0.18
