,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
952,어스얼라이언스,0.7922568765191904,0.1465157432316133,0.026213317429319066,0.007908997089454398,0.007028166456980249,0.009430002372762486,0.010646896900680094,0.24915139358525612,0.19522396631833552,0.03144600287882343,0.01401510341267011,0.006762572822850006,0.005882818793461643,0.005287777365581714,0.005282450734588095,4558.0,19.2,0.42
953,에이블리코퍼레이션,0.10543422393371556,0.19046862779670315,0.09078205999462365,0.018831593954544458,0.011733935632412415,0.0678046723009375,0.10005435395210897,0.14333447666981503,0.10320046807936697,0.4639056121789804,0.06781878777399628,0.023684087091895307,0.019081518147805114,0.015721067747102916,0.015017548134130221,5323.0,934.8,0.45
954,아이젝스,0.11468080390842726,0.26712622062942,0.12062396423635685,0.018962056941386078,0.012312181590852608,0.034262469921856324,0.04093858939813379,0.14052891883834231,0.12747577598046161,0.2261179641217242,0.0531774714764853,0.020493036309040445,0.01582299090580212,0.012923642906938204,0.012636346145865377,4918.0,40.2,0.27
955,와그,0.15571572762304428,0.36089424855612695,0.02298454118482122,0.0062789506845954855,0.005029299039136104,0.009309931813493589,0.012211907449983453,0.3918343144652174,0.36696956017277943,0.1200094358869436,0.04135135329193565,0.02122636622593981,0.01734584040681884,0.015007816499682516,0.015203025231510016,4284.0,6.2,0.56
956,와이즈버즈,1.0,5.892151190883815e-307,7.298178980383055e-308,2.144918049623095e-308,1.852726594986066e-308,2.69084165264064e-308,3.130577829342909e-308,0.42407327939215456,0.11219050579297801,0.031834769109687605,0.013759827734784838,0.006807292967263096,0.005886307959207677,0.005274159481155779,0.005316166453727836,2336.0,105.1,0.42
957,이포넷,0.1373840694505728,0.2584897633675687,0.02001048122652531,0.005349321029258332,0.004316545935444202,0.007916614080179324,0.011020139906987626,0.6472433257350663,0.12956980414404617,0.033833033236113384,0.01600321692885157,0.007863921314891787,0.006943923424882429,0.006314991954482045,0.006338536560141484,4267.0,243.8,0.3
958,케이아이엔엑스,0.10042439602221771,0.1780895527727151,0.08406105704016673,0.01770944440692754,0.011304159886922668,0.065818856483853,0.08898646126355438,1.0,2.270937328192743e-307,8.366641758751008e-308,4.116629791862514e-308,2.0715826434270574e-308,1.8470177723638517e-308,1.691487210515202e-308,1.707692300082738e-308,5913.0,674.7,0.13
959,에스지에이,0.0829084733716817,0.10826704753989913,0.22755666779163,0.08451565553530661,0.02598089673279259,0.03106925911193411,0.01900553819455395,0.677401085559078,0.09447333049467954,0.03173570434871909,0.014091403290130856,0.007077028195733227,0.006147602418956788,0.0055254773664303175,0.005589811524702853,1475.0,4.1,0.33
960,네이블커뮤니케이션즈,0.04902546306108145,0.1317166727316219,0.01707788782666525,0.0040759623444254845,0.0030778789975067144,0.006354785541962557,0.008296850682089128,0.4099690133286632,0.0914221630932404,0.030622093601650212,0.013604081913711236,0.006901134888441734,0.005986020458855453,0.00537809292596641,0.005446721455283127,6295.0,162.6,0.19
961,산하정보기술,0.8754966356585864,0.08714031038864493,0.015896671922103853,0.0048612011811363575,0.0043540910639429725,0.0057928697608153465,0.00645822002477012,0.7242647459395002,0.129789266331528,0.03328459938589723,0.015940494851292532,0.007790477763395309,0.006905484225496656,0.006294997881994518,0.006312088898198073,4292.0,110.3,0.13
962,에코시안,3.668846047001395e-307,1.0,2.7261300903226946e-307,5.451238386125456e-308,3.724554483092421e-308,8.1671869518341435e-308,8.636520180511839e-308,0.5281253946919514,0.10417632818106484,0.03638372709163783,0.016883619060238948,0.008591971719530751,0.0075258632807081415,0.006808807887159615,0.006893497192582665,4425.0,130.1,0.35
963,이음소시어스,0.08641905506851885,0.11172528966191894,0.11722499042256138,0.09035341128091318,0.03367658139063224,0.027338652804059425,0.016615788785365158,0.03549662705559984,0.013931140966191646,0.020473480410119656,0.023535614318414236,0.012918074310836287,0.03513315175682692,0.6569644912316167,0.05289385427929394,1521.0,31.8,1.6
964,포인트모바일,7.059181012192141e-307,1.0,1.3724621998025512e-307,3.64111088326996e-308,2.878076011670166e-308,5.311008873142212e-308,6.602270796812421e-308,1.1024955118825797e-306,1.0,1.5627397041588859e-307,6.826155927161031e-308,3.335698270873517e-308,2.880862065896996e-308,2.5794129365314156e-308,2.582690896875342e-308,4866.0,768.3,0.31
965,컴트루테크놀로지,0.1296380946149344,0.5827438145954795,0.05598941151545078,0.013622827930438623,0.009758226987679098,0.03017194158384598,0.05834118097633906,0.7068965211953974,0.05035028192384433,0.022883306821545695,0.012237267436931522,0.006088117142436401,0.0055731727818640435,0.005198819226285709,0.005232866111236924,3346.0,29.6,0.31
966,퀄슨,0.19623518982606036,0.17932577523617524,0.016251070726332324,0.004496728711468163,0.0037353683855408768,0.0059075677900245075,0.007214948422123707,0.09588086233464725,0.059018996095778174,0.49739804645657903,0.06135522669120723,0.036379732165252636,0.02100479719681493,0.015123875851825353,0.015096721876768995,4359.0,224.5,1.15
967,퓨쳐시스템,0.05681071647769057,0.06460414735121757,0.05032216399477575,0.04050610899868946,0.1868842151337804,0.013646422823676991,0.009337703839662832,0.026998905981026767,0.010783679779302571,0.01677674124900322,0.01780530153954272,0.012219008276556398,0.06951666329948579,0.03836192608438638,0.0503769223086452,4803.0,121.3,0.19
968,네티브,0.181675368633014,0.5419108382472257,0.06107407923934814,0.014195334610020725,0.010515721753630592,0.024032377291643817,0.039527212026775956,0.1459339436483375,0.11630067599359067,0.5878930394798831,0.04144543019119234,0.019732671213874405,0.014577761676820537,0.011836313831550293,0.011878791561185207,4759.0,133.9,0.31
969,엔셀,0.07491837337072801,0.766665791655357,0.05097591922047713,0.010655296963678436,0.00735740861824054,0.016048520364180092,0.017003361411026416,0.7010878633994367,0.05052887815794277,0.023458096251988567,0.01252533220440914,0.006316613796049785,0.005776775757695528,0.005387643498892314,0.005437031431683748,4140.0,100.0,0.45
970,비아이매트릭스,0.8246442630186557,0.12376008357843121,0.021906519155373574,0.006654919534536279,0.005928084142037083,0.008034722274774819,0.009071408296191222,0.160663837498166,0.09872338161343668,0.4147390281369998,0.19124732217745022,0.049152154745765037,0.034757954991640035,0.025956136098103672,0.02476018473843858,5420.0,206.1,0.22
971,인포바인,0.10972502303337112,0.23296307206288025,0.09074687531901142,0.015194248420672934,0.010127781174257203,0.031181934620401155,0.06864366324854206,0.3020613368050058,0.4779342573519134,0.122639852832554,0.037324097355193216,0.01875274452251767,0.015149069904700094,0.013007702353384071,0.013130938874731716,4686.0,188.5,0.14
972,포비즈코리아,0.30455731870057884,0.23479281689901457,0.021474945861708557,0.006130213964097612,0.00518424794569348,0.008135145107289691,0.009692279643861062,0.3103063559589882,0.3950556923375999,0.164395514724479,0.05362724886168328,0.02380100719945329,0.01950149421188251,0.016727352219998326,0.01658533448591533,4250.0,74.8,0.35
973,대아티아이,0.586577073808904,0.136736546584269,0.026536723729437495,0.008078002471132746,0.007280320785914702,0.009516418118965688,0.010656715008793926,0.704105244520205,0.03807948573260264,0.01856311123147422,0.010162091312498898,0.005068203751286481,0.004675776683112348,0.004387149643407747,0.004416193801891528,5173.0,1162.1,0.28
974,메트릭스코퍼레이션,0.14266958587020245,0.15874786591709664,0.11158782232877572,0.08240064428012946,0.2853564305310566,0.03346400237971377,0.023057183832018106,0.7148256465353673,0.05242181986252159,0.026189660756106344,0.014299543179077223,0.0072214422931028,0.006655532077278696,0.006241316362234707,0.006302118412184781,1699.0,135.7,0.55
975,액토즈소프트,0.44105005656258717,0.23550948514087264,0.024181973520277036,0.006829840582971377,0.005762576509930299,0.00880730994779996,0.010564304814073744,0.32508093797733845,0.052217464309855174,0.02041179375088214,0.009670141768692827,0.004864756399036348,0.004294615539705757,0.003901323350400739,0.0039493304223083385,6525.0,317.6,0.17
976,코스콤,6.152786692350996e-307,1.0,1.6158307974115879e-307,3.8962145074380383e-308,2.9662215516327426e-308,6.294974186540131e-308,1.1320352601908894e-307,0.16436350712715894,0.11466665678316676,0.40448608367267075,0.12632660090117478,0.03710464100579077,0.027954758442403402,0.02194691623784997,0.020983910946999525,6032.0,3568.9,0.12
977,디유넷,0.2915234021993632,0.1537682461148263,0.016784409461570955,0.004942910171423373,0.004233358083931699,0.006645245059426804,0.007917255956006196,0.40960011937931184,0.05299970865553453,0.019828176860101986,0.009946757953944684,0.004917703768559702,0.004415441007881308,0.004060411622534168,0.004086710935861262,4290.0,121.4,0.37
978,이지미디어,1.0,6.141811784592836e-307,7.408143912608615e-308,2.1228052921909387e-308,1.808431544793716e-308,2.7236079245619873e-308,3.317523768155039e-308,0.7112478596234761,0.04791919833667284,0.022813219545433385,0.012033782669649188,0.00612304389852757,0.005577375758037743,0.005184819368393148,0.005250450113552446,4500.0,74.0,0.25
