,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
2092,아이센스,0.39693875139187157,0.010958132215650705,0.002120108868838114,0.0023594258811681246,0.0029297160446603767,0.0032402188503308778,0.6678030129696091,0.06479640917455352,0.028657631173968166,0.01160959306659859,0.0048438781546034015,0.004538404189395961,0.004570107759126795,0.005166856389481347,0.004914502616657853,5012.0,1938.8,0.25
2093,광동제약,0.84274719640484,0.02809277746535301,0.004713100215830962,0.005755769564580216,0.00762240279337372,0.00895466658944073,0.40732451564849864,0.04142252503545861,0.01760572291971667,0.007095418532834682,0.002938039687353573,0.002748517669865661,0.002763719429781588,0.0031459238591764263,0.0029952448118857823,6624.0,8252.3,0.14
2094,동아에스티,0.7418118373685886,0.09458281008078674,0.010676728146551127,0.014896234636664557,0.026324624110242174,0.044010997095966266,0.6539705705047275,0.13236377760440893,0.03468003204873437,0.013184300640279645,0.004865732642249298,0.004405522180874209,0.004415985229706263,0.005475986801554482,0.005203215647452196,7012.0,5901.2,1.09
2095,휴젤,0.8581459726116246,0.0236694558610873,0.004160362216149815,0.004935778790205095,0.006435876807404385,0.00737092057680551,1.0,2.321895735034363e-307,1.1598199524060093e-307,4.699641334916272e-308,2.0318120083724374e-308,1.9259464665772026e-308,1.9381108491886474e-308,2.139136794866478e-308,2.050421621673991e-308,5462.0,2011.4,0.2
2096,한국애보트진단,0.18698521486993866,0.03383726321315691,0.004008663382512805,0.005254203257771453,0.009345773716398642,0.01708351378942335,0.669861300738585,0.07433912114029784,0.03267960182313279,0.013445026640240927,0.005568162171088239,0.0051998825335796825,0.0052519325726036355,0.005935417098710387,0.005598722506826682,5491.0,6105.6,0.33
2097,유한양행,0.7441792421151621,0.030575285399526603,0.004807564302513687,0.0057651928072777435,0.008487197951041199,0.011000536561004684,0.6677309422169162,0.06476845639317619,0.0287938532989176,0.011594690086897817,0.004856459615262571,0.0045610638166227084,0.004583643023476881,0.005178984808001508,0.00494551434000489,9077.0,1600.0,0.08
2098,바이넥스,0.7366384708293984,0.019104264330202105,0.0035529076242151302,0.004167160685606792,0.005056591610461549,0.00556310296047589,1.0,3.237178632878618e-307,1.4112035882291676e-307,5.680200073878461e-308,2.365943421067974e-308,2.2207358699043997e-308,2.229185561400571e-308,2.5277200992918343e-308,2.412978890666322e-308,4816.0,1343.6,0.19
2099,환인제약,0.6621023763460948,0.0187401218651939,0.0032404623252792406,0.00392483587083959,0.0051284092599095995,0.00584293332051155,0.7526714625960461,0.09208662449614936,0.033366505520402726,0.013417718203410776,0.005266709042832495,0.004834989066292937,0.004879405758836301,0.005751055446713847,0.005409698851362497,6322.0,1771.8,0.31
2100,한림제약,0.8013674686829205,0.02004681861577326,0.003530216895749247,0.00421371093578723,0.005437959695894611,0.006076056002352969,1.0,2.8246072031076605e-307,1.342744705233679e-307,5.484823396852516e-308,2.33469209449353e-308,2.203353869240935e-308,2.2181814893383206e-308,2.467461380451105e-308,2.3495863104077353e-308,5679.0,1843.4,0.18
2101,써모피셔사이언티픽코리아,0.8180472558395356,0.03310119365570664,0.005830802829981604,0.006901824081311927,0.009294001957744647,0.010536297602580673,0.4061036736374208,0.1040696650316958,0.031152768351420744,0.0128814801357205,0.0048874642623958995,0.004455544577408639,0.004495926256031125,0.005371328145519745,0.0049772704520923165,6032.0,1241.1,0.18
2102,안국약품,0.936387010509764,0.015987703480366457,0.0030038105034657227,0.003502530433633649,0.004215668060106165,0.004609530782990528,0.7688555265978979,0.05860384424046309,0.026900161236342965,0.010763228948712188,0.004528558036481804,0.004249257887068722,0.0042781839686431055,0.00482886974755942,0.00462252965879244,6792.0,1510.4,0.43
2103,신풍제약,0.6877659152447161,0.1470050206313189,0.01505574451202289,0.02180489879671106,0.045219961349338644,0.08314845946589221,1.0,2.6362570954709432e-307,1.2920367482583324e-307,5.315948602688926e-308,2.2789209782783134e-308,2.154993987170072e-308,2.1723120293456064e-308,2.398090907578728e-308,2.2795766569702047e-308,6439.0,1797.8,0.15
