,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
416,에스엔패션그룹,0.05568381316036837,0.0745352518915151,0.0520956184606268,0.8007691837994843,0.01691613268800551,0.16722989626504098,0.43264056476745294,0.12509438598377054,0.03268201048236286,0.042924374351939416,0.029496643501092313,3575.0,636.2,0.71
417,롯데상사,1.0,4.197377272118634e-307,4.3224443992885664e-308,4.525660454208472e-308,1.6899309052112517e-308,1.0,5.268375328648195e-307,7.270530836679902e-308,2.8831737143180057e-308,3.199272205107319e-308,2.930158310749959e-308,5747.0,5805.7,0.18
418,포탈하이웨이,0.3755603445661576,0.1712864345429975,0.011131368610050008,0.011990547527942324,0.004099074324796655,0.891431356905804,0.0589695964299883,0.011223740252672249,0.004826924257154799,0.005171404506583799,0.004874824140999036,4768.0,966.1,0.37
419,한국무라타전자,0.7278089940669991,0.14472295474821223,0.012790684434092085,0.0131831355796589,0.004662790580909694,0.4518564224145192,0.038220157573541004,0.0071908289517241455,0.003080364929765666,0.003307600339833228,0.0031196071697226335,6032.0,1400.0,0.08
420,비기닝리테일,0.28489290479810314,0.24096189461792367,0.012836997422640778,0.013990349634571294,0.004683918573644691,0.2101141408373837,0.5124147231126138,0.15508798252816955,0.025513181719591077,0.037326910050387616,0.02577316260344567,3512.0,275.8,0.61
421,디자인벤처스,0.19536895005413385,0.5581881420828718,0.032618630252905526,0.03766597761000566,0.008870886908715505,0.11795917735519423,0.14874353960453365,0.10195279627154799,0.08184734782081472,0.4608547458849679,0.0803252513768824,4069.0,262.4,0.52
422,위본모터스,1.0,2.157107357364188e-307,2.762025376730564e-308,2.8111959418333784e-308,1.1565455370763624e-308,0.5631209692609632,0.34424804727289454,0.029543967283768367,0.01107017170280263,0.012575669535283615,0.011247235626481453,4148.0,3023.7,0.48
423,전자랜드,0.1564349332375167,0.3133990803009172,0.06284415920865243,0.3895314862968,0.014941215704347421,0.42620592028460114,0.525395801529278,0.022059660115354977,0.008343767001253465,0.009452822757164045,0.00854202831234834,5287.0,8783.5,0.5
424,피피비스튜디오스,0.12738557967549222,0.1939358242257487,0.1714292806175099,0.1338535039346827,0.0244733531618662,0.8051473927938142,0.04856783541953906,0.008867907547881464,0.0037530974397866133,0.004049258835912865,0.003790933591392292,3993.0,200.2,0.23
425,스와로브스키코리아,9.559932919211068e-307,1.0,1.0483490118152524e-307,1.1696044848545426e-307,3.1372557154492347e-308,0.5333836894372384,0.05230097124454759,0.009028073781869053,0.0037596162599746363,0.004087076437523732,0.0038151003868479327,3904.0,671.1,0.38
