,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
61,대구은행,0.08091266722620473,0.5014216554189331,0.009132812298275395,0.0023286245949334476,0.0026073537200848023,0.002709858298112584,0.0030883643933507085,0.0033758927217084384,0.007575619874041016,0.8085419886528389,0.011745632808300063,0.011383479563566695,0.005139164561650332,0.0051927100780801505,9985.0,2600.0,0.08
62,케이비캐피탈,5.013026169133313e-307,1.0,5.282166491168057e-308,1.3527884087551854e-308,1.514856331481201e-308,1.554829517840724e-308,1.8237521738698244e-308,1.9875116842325715e-308,4.3497272151501986e-308,0.670988918188632,0.012579294444954047,0.012204056267213052,0.005204012548340517,0.00529701267359769,8719.0,9906.7,0.19
63,한화투자증권,0.1381954742380035,0.07660855361926383,0.21526875403596324,0.020006402800030767,0.042045799767494216,0.043810877368173906,0.09649622431077845,0.04387011922116552,0.007684267571912897,0.8905722063473356,0.026458307668055417,0.024009394914820306,0.009548612482553532,0.009637557878494834,12426.0,1500.0,0.11
64,흥국화재해상보험,0.09014044153696897,0.5003551943266435,0.00835520301104731,0.0020614172139858497,0.0023222758479491176,0.002441213878602441,0.002801740567249145,0.0030987860604464713,0.009412324007828076,0.7599179823333589,0.014024116231178625,0.013031563225108761,0.00565069076027792,0.005681446715576565,7970.0,4300.0,0.17
65,미래에셋생명보험,4.496295519715837e-307,2.3210254460208745e-307,1.0,4.953208393628761e-308,9.480494958036923e-308,1.333933463664208e-307,1.6324931292677075e-307,1.6324461145443572e-307,2.379145238276903e-308,0.7321940652920694,0.013268559564007382,0.012510518186101745,0.005441848879523971,0.0054896190916791975,9693.0,3400.0,0.08
66,카카오페이,0.5830407442636899,0.1083035492863586,0.014793489558247577,0.003180320220519105,0.0037247949198555346,0.004028999116526441,0.004861532893929583,0.0055342582790760125,0.016621311088768253,0.5103360255179578,0.01271702948949727,0.011489292460573215,0.0048150466302599,0.004831771545569896,7474.0,4034.2,0.12
67,경남은행,0.09810249853129771,0.4676241877102742,0.011257565763287018,0.002955500691802724,0.0032476593401607854,0.003332971853913345,0.0038753332479293918,0.004215708001898926,0.009015959397203545,0.8609350589899447,0.014428052072744717,0.013750616625632962,0.005742562197487417,0.005834025014480557,11098.0,1600.0,0.11
68,인카금융서비스,0.2588826036146282,0.08201266078888328,0.05025333165119517,0.007784402603464414,0.010579320291163426,0.01125858847235635,0.020128144640797437,0.03032341408197448,0.009084587221965201,0.6758932212453463,0.0637214920636423,0.04497024498418038,0.01572535440963621,0.015447945816490838,4530.0,3143.3,0.23
69,수산업협동조합중앙회,0.12788447679739953,0.7530512232361894,0.013918437922112052,0.0035383646218580564,0.003963799806436849,0.004119677056835072,0.004711713723936992,0.005143290301239612,0.011901286844953023,0.6543925428626173,0.012286896192504917,0.011554751970627289,0.0049370014507231245,0.0049886634553994265,6082.0,1700.0,0.12
70,에즈금융서비스,0.11244305895853443,0.4646476933359507,0.010408192149413659,0.00257470019332506,0.002908981440341704,0.0030418524817322976,0.0035144493406763563,0.0038640410475057957,0.010825579838732467,1.2213232775830454e-306,1.0,2.8893258516214096e-307,8.876959126326513e-308,7.75087097096927e-308,3506.0,1530.6,0.3
71,부산은행,0.627305453768781,0.12289272117481831,0.0897593918348601,0.013067166386456119,0.018312297088059853,0.01947376201381947,0.03773184566687561,0.05802909235228609,0.013428269714043683,0.9620531688397709,0.013216734604063238,0.012927116757617207,0.00586620606296989,0.005936773735578992,11446.0,2700.0,0.12
72,광주은행,0.18540971378998453,0.35903397710264395,0.013749478857192528,0.0033195488804697334,0.003730085293102903,0.0039520374362789325,0.004589269436858847,0.005119065727702924,0.021516070700012695,0.5644462717965302,0.10316230567981768,0.06039541067845919,0.017024109004977552,0.016469481535389498,9814.0,9413.1,0.19
73,웰컴크레디라인대부,0.029847225429668132,0.020991105401415397,0.018814095454380685,0.8906463311221575,0.01849433411337419,0.007953549610642858,0.006457182615941301,0.004789225599144684,0.002006950653275085,6.7748161767170685e-307,1.4188870387954216e-307,3.82771696508231e-307,3.4373597951061027e-307,1.0,4608.0,735.6,0.99
74,고려신용정보,0.6431135575788698,0.1711794865303552,0.0721172207332814,0.011851516445235737,0.014981952422220219,0.017216685626965735,0.02144665405074273,0.02603240400212345,0.02206052261020544,1.0,8.452059300521606e-308,7.614149252034641e-308,3.122390506206334e-308,3.1376872229913943e-308,3830.0,1422.5,0.39
75,한국투자저축은행,0.35117267660729073,0.5111340522407888,0.01790336072006759,0.004188878856087097,0.004835407316211723,0.005037687338773297,0.006193939453026911,0.0069674037770461866,0.02392362176069088,1.0,2.968210549094057e-308,2.87313570100203e-308,1.2993522753347165e-308,1.3121738645655023e-308,6032.0,2562.1,0.21
76,엔에이치농협캐피탈,0.06861710816398944,0.1992923712286184,0.006232025908059179,0.001570331424210481,0.00175037067042246,0.0018123790157719584,0.0021399716801725832,0.0023774772813324823,0.006502843834550292,1.0,4.73512666145299e-308,4.455125323557413e-308,1.949515189905732e-308,1.9636023695203345e-308,8224.0,3750.6,0.22
77,롯데캐피탈,1.0,7.853529760278313e-307,8.968787779569781e-308,1.930467033279279e-308,2.285118957702288e-308,2.4372018637311917e-308,3.0404731430956686e-308,3.59077452665986e-308,1.7157873790252003e-307,0.7921205403301473,0.021135552439645395,0.02020168572390189,0.007922090538011599,0.00807793125212398,8394.0,9970.3,0.12
78,한국무역보험공사,0.07836027770042144,0.5169925748703303,0.009454561646102368,0.0024753326541346616,0.0027300927055411814,0.0028187458569473964,0.003217311559137395,0.003496466483805437,0.007411583214499882,0.7396116650358464,0.013629215005728683,0.013029869657571604,0.005671676311209477,0.005740228931202015,9274.0,1400.0,0.12
79,우리카드,0.714630371622107,0.10123621173130734,0.06334871600428581,0.009153581711363866,0.012590337750098591,0.013923885474486117,0.022486981795904564,0.036426259795119424,0.011715339923859298,0.585794708220299,0.04526890536909989,0.03397967535964751,0.012100312045579927,0.011956919783994555,9147.0,1300.0,0.13
80,신용협동조합중앙회,0.15405170195482404,0.4152626773872911,0.0124770976079071,0.0030327693331646585,0.0034456488074670554,0.003611907650128661,0.004215132965376672,0.0046520865651997504,0.014784554376120551,0.7211383276311335,0.009912544004256622,0.009438013885596844,0.0042068998567903575,0.004239023878369872,6032.0,2000.0,0.13
81,신한생명보험,0.1252516023173039,0.07354824557670057,0.15979466192633507,0.02288130895322812,0.05049506853132076,0.04039147082089579,0.07254174852936031,0.03292065381293111,0.007454990930680977,0.8170675226496202,0.014502861464789293,0.013667279035076923,0.005848985627721539,0.005908881623187402,12393.0,5400.0,0.06
82,제이비우리캐피탈,0.37009495984792007,0.16597109349246678,0.023804900777559597,0.005247582666793044,0.00623288622398791,0.00643365904422047,0.008605150068763692,0.010057540306660792,0.018040884209802405,0.3789478599521246,0.08761242293390328,0.04192158746581216,0.013942861377497227,0.013132085999100953,8879.0,6599.2,0.17
83,케이디비생명보험,0.13265541749756413,0.08249650769983732,0.1570060516971542,0.030657901828190726,0.06489686511174102,0.309115211936911,0.03308170617291917,0.026087571263555757,0.008186924213600183,0.9781983049912243,0.00761944979276301,0.007458412030591572,0.003337784476091987,0.0033860487093292147,8099.0,3600.0,0.13
84,동양생명보험,5.124323483058145e-307,1.0,5.321297081017135e-308,1.358369296808424e-308,1.522501730548332e-308,1.56495539155019e-308,1.834499431712713e-308,2.0016514299209973e-308,4.480922860482847e-308,0.6019735072508811,0.011141747918226053,0.010495933344351636,0.0045143343572578085,0.004559615671370202,9467.0,6200.0,0.28
85,유진투자증권,0.3735354160781551,0.11267624736551156,0.03365066852238803,0.006461768988360456,0.007872850824512636,0.008401746619214192,0.01188154442468525,0.014518614874673211,0.014854171671157067,0.8753450832038836,0.0367548062764597,0.030033759489697835,0.011547297783255217,0.0114827221685698,11994.0,8775.5,0.17
86,농협생명보험,6.419282218916849e-307,1.0,5.557998281800472e-308,1.3823951154862214e-308,1.5624400872635137e-308,1.610921330277613e-308,1.923517903341083e-308,2.13339666657339e-308,5.619617210533268e-308,0.7603517358742714,0.01159337366277844,0.011184491684641105,0.005032504132774094,0.005081538501718871,10974.0,9600.0,0.12
