,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
1847,코카콜라음료,0.8198365995634562,0.024175131110708112,0.01211481622624493,0.005648985058675797,0.004715167068657255,0.007346720775222006,0.026646939598197802,0.9158759613373617,0.02598013992696067,0.01331912592051099,0.006009651208519755,0.00551351033568417,0.005608895636125165,6082.0,1400.0,0.1
1848,삼양발브종합메이커,0.9310976022159846,0.022112433993040376,0.012523837406873847,0.006019657597380975,0.00538603264890147,0.007101935446627544,0.01575850069119106,0.5565936183202143,0.06840370707415763,0.026587762135368176,0.010918603055283277,0.009460005727342758,0.009581435073249515,3894.0,158.1,0.38
1849,엑시콘,0.7717256540814335,0.0805313573925802,0.029364383944050797,0.013252840657960872,0.009704547566413032,0.023651847442779105,0.012804649445348702,1.0,6.28015167723237e-308,3.406897069287695e-308,1.5626727537581964e-308,1.4539319547688764e-308,1.473451044715392e-308,5706.0,661.9,0.2
1850,코윈테크,0.8191042358174375,0.012590143382907405,0.006609649397731012,0.003155807087720488,0.00270255993322362,0.004022697414277279,0.013570778420486141,0.9334896013226588,0.028539851471136926,0.01612404247897579,0.007533463068902547,0.007099352246734178,0.007213689411591557,4892.0,717.6,0.22
1851,엠케이전자,0.7390486074012421,0.032852413242661194,0.014227070352890447,0.006447308902777473,0.005055528858908386,0.008986392246483196,0.008755706581859575,0.7865595571355649,0.04110289858990089,0.01788970203344515,0.007705009521398495,0.006834811741886465,0.006965752810990304,5508.0,5486.4,0.17
1852,참프레,1.0,4.522891760610117e-307,1.2408390783934691e-307,5.510869470043893e-308,3.799712427193785e-308,1.3079389858880088e-307,3.346872278000211e-308,1.0,1.0946371024184004e-307,5.057092591548297e-308,2.2220819146639353e-308,1.994226005688678e-308,2.0411159668553323e-308,4622.0,4835.3,0.29
1853,하이트론씨스템즈,0.7426038568798463,0.04213420617247772,0.018038366810473508,0.008153973343543331,0.00637520646762029,0.011490154585066359,0.010950069989716914,0.7752858725999444,0.023912377265095434,0.013384458380713886,0.006224105986572312,0.0058466271217887614,0.005935570169070999,3771.0,274.8,0.42
1854,놀부,0.45848452018317176,0.025617308015777024,0.011547876802610562,0.005329226696063147,0.004406205085258554,0.007750482877515155,0.014076929007480686,0.9361653310610792,0.02803349670904321,0.01534654709179468,0.007091710467289001,0.006620963015266439,0.006741951655527447,4627.0,716.3,0.8200000000000001
1855,대두식품,1.0,5.950616816229263e-308,3.283292259530302e-308,1.5792498895365826e-308,1.386558450260532e-308,1.915468683303913e-308,4.810131743147084e-308,0.3263084766058576,0.4406924494568396,0.1399872405604885,0.03766126488918139,0.02781028786756734,0.027540280620065593,4542.0,1007.3,0.27
1856,케이티앤씨,0.23692629258799677,0.16132775910638245,0.08015219557619707,0.026702327381166995,0.014443633744965278,0.029502409785581205,0.007335116866280691,0.1335187984488142,0.7919030714812204,0.042639266336628706,0.012570766171535299,0.00975387634159599,0.009614221220205188,4658.0,73.3,0.27
1857,혼,0.4912091169594968,0.015611952253250398,0.008003709060828031,0.003835401526412057,0.0033525235508804637,0.005049114702749697,0.013061956787887869,1.0,6.287454314771152e-308,3.39151105601751e-308,1.555790957358492e-308,1.4462976547398303e-308,1.4687269909979806e-308,4206.0,322.0,0.4
1858,넥스트아이,0.19578578274458108,0.12094532870807524,0.44953314040172726,0.04527018631359644,0.01698870980332393,0.035827701026308265,0.00605314486843279,1.0,1.1042462097656526e-307,5.216486376722107e-308,2.3109706684211394e-308,2.0823408442859845e-308,2.138109642505485e-308,4151.0,42.4,0.33
1859,비전세미콘,8.86201092686752e-307,1.0,3.298962084783728e-307,1.0232204146020563e-307,5.044138749621438e-308,1.4940970127911244e-307,2.584657192301734e-308,0.7937357071298786,0.02360625686638793,0.012685234338176813,0.005829601926551349,0.005415906342714379,0.005524181601296817,5282.0,648.9,0.34
1860,에스피지,0.26495108215973845,0.2317182435546819,0.08154709661923845,0.026599947330507676,0.013914731844190327,0.03582199324813487,0.007458896873999836,0.831003123326589,0.0452431575359608,0.0212949620230283,0.009240319712981572,0.008291082834269187,0.008392305474864113,4811.0,2195.6,0.28
1861,유니슨이테크,4.5850274551908735e-307,1.1901901469221796e-307,1.2426006855365315e-307,1.1860695607618079e-307,1.0,4.902159602128581e-308,1.5747904126803756e-308,0.06798346907984675,0.027899665971237834,0.033790203418599965,0.054090754081629284,0.34721530360788094,0.12737465131422016,4534.0,6425.0,0.2
1862,피닉슨컨트롤스,0.9504455666901277,0.015194806281317502,0.008316908593419632,0.0039867133073253945,0.003477435361018866,0.004856360783686235,0.01372220898310476,0.20267491444999614,0.2258378102956531,0.1168676890861955,0.03235832793117751,0.022033879135834454,0.022227022221812286,4569.0,250.6,0.55
1863,테스,0.28850241959542583,0.011451209409931095,0.005799745639361564,0.0026681834682417433,0.002291131338854129,0.0034348997677128112,0.5791753954570988,0.43413674849028633,0.1928484954249864,0.048641992178891987,0.01720841622935847,0.013849552415024977,0.013947877007279523,1973.0,5.4,0.65
1864,삼화제지,0.5108191973816101,0.009563005791242177,0.005303116222394258,0.0025421134244357785,0.0022189781864127753,0.003067463980389716,0.007345707164775291,0.6118304269734764,0.016488327680944048,0.008987346926166895,0.004145799784872814,0.0038692639537844654,0.003931596476586271,5594.0,860.8,0.28
1865,세아제강,0.9058754655167016,0.015525062081309323,0.008700911465559319,0.004169887044162016,0.0036574477842693225,0.004970345814020263,0.011409587557827568,1.0,1.2899285795293354e-307,5.703530177709559e-308,2.447368191799635e-308,2.1726496678799415e-308,2.2046052655115197e-308,9842.0,16.6,0.99
1866,동서가구,0.20737734478873843,0.013361376303694456,0.005972404959571912,0.0027629377900322714,0.0022711636866352336,0.003980834480292574,0.004420828771540598,0.808142740001515,0.020427543040278103,0.011203672815465252,0.005181998566170452,0.004843933489444456,0.0049268933236186075,3324.0,685.3,0.8300000000000001
1867,비엔에이치,1.0,1.2626575521748725e-307,6.008507183140773e-308,2.811667969325639e-308,2.303554772802413e-308,3.8924727085530654e-308,8.607216321751584e-308,0.5758855761663721,0.017616535455248584,0.009103866813521768,0.004111638191082626,0.0037789190925353326,0.003836269823491145,4955.0,1529.6,0.99
1868,에센루,0.5386870644495687,0.010024151661130055,0.0055570191970614816,0.0026634043052444307,0.00232429607131924,0.0032087278294483097,0.007989504716817829,0.7688612419614523,0.03794409494943981,0.017127906147784505,0.0075041505984655005,0.006708490171036646,0.006888636621060947,3611.0,437.4,0.45
1869,인화이엔지,0.8931343113291341,0.0257204771657472,0.013739621348787073,0.006488591819933509,0.0055517979727878804,0.008034298796255487,0.036279738152302746,0.19512909032216744,0.19275206509024304,0.14059484654069154,0.0312486784778438,0.02186741713945712,0.021355273548052334,4527.0,146.0,0.51
1870,코콤,1.0,2.0285376894557214e-307,8.403295488638264e-308,3.834145922857309e-308,2.9263972661998118e-308,5.974876446934102e-308,5.574882976524809e-308,1.0,2.209076404673121e-307,8.133340137817784e-308,3.2083014388965937e-308,2.734638136253059e-308,2.7580520012034137e-308,4552.0,926.6,0.64
1871,브리티쉬아메리칸토바코코리아제조,0.255806867445392,0.6124595012670786,0.03968727664324656,0.01537769509290942,0.00975680007194086,0.03417716082911902,0.006889978410062538,1.0,2.438375968252638e-307,8.547808159485504e-308,3.3461453362927042e-308,2.833359698130574e-308,2.861219608404998e-308,6001.0,5828.1,0.15
1872,손오공,0.39026996665324154,0.024677919614777805,0.011071696137990979,0.005163589942186078,0.0042516473795178155,0.007548276993619266,0.009220663913696244,0.818659957214267,0.023514017472211483,0.012469338784064022,0.005692380653948543,0.005268423237691858,0.005359195489837306,3698.0,720.1,0.26
1873,중앙제어,0.9331347908019227,0.02148779258222383,0.01218829026348525,0.005856401384505794,0.005242350707189762,0.006897936675608315,0.015192437585064444,6.274171230292178e-307,1.0,2.055955723016338e-307,5.894100941683377e-308,4.582465149682689e-308,4.504513092224053e-308,3946.0,392.8,0.17
1874,한국유리공업,0.47933197361327334,0.02117114816963286,0.01003424238438488,0.004727348499393076,0.003995023887057565,0.006677310980285161,0.013978920878108078,0.8613784943298375,0.014536515629087168,0.007842459288067885,0.0036038716819865044,0.0033514036151761676,0.003410693975177865,7424.0,2.6,0.23
1875,CIMON,0.1890199436790703,0.08285153849872282,0.5453485980287179,0.06582835772450152,0.019645522662002493,0.02459163336038039,0.006106929854747839,1.0,5.377007332867921e-308,2.9691195213288606e-308,1.377137780922432e-308,1.2889733652253174e-308,1.313340565093171e-308,4464.0,376.8,0.51
1876,가온전선,1.0,1.0061132801317862e-307,5.094204066628745e-308,2.384723950604257e-308,1.9970883024462255e-308,3.130265453974231e-308,1.3042839589159791e-307,0.5712160192280207,0.024882253552477536,0.012307476375076645,0.005489819279523349,0.004996411571239633,0.0050794876642930595,6622.0,9060.2,0.17
1877,동양물산기업,0.7045584981188865,0.11362644746097841,0.03877833087082261,0.016714329146913263,0.011865214426731871,0.027571672350083416,0.013458639651586628,0.4312309655805359,0.15320252827718694,0.04478865003845271,0.01641801340421027,0.013419068017542654,0.013536685981091687,5236.0,3630.0,0.55
1878,모나리자,0.8129485711742652,0.024302475177149188,0.011829412555164544,0.005607343133971273,0.004644933602799338,0.007707909312334394,0.017970556023081057,0.5139800561983479,0.02855853010264838,0.0136675143467699,0.0059994606710285685,0.005412610867522998,0.005487592207747206,5342.0,1064.0,0.15
1879,한국오바라,0.16501983201962186,0.12721974534261016,0.035693125896801715,0.013597181568616508,0.008055511571157286,0.038345698621210504,0.004447322840040705,0.5691415541602499,0.04315700868226618,0.018312889678507204,0.0078007035908688495,0.006882716021683125,0.006991773135019566,4975.0,570.7,0.18
1880,린텍스페셜러티필름코리아,0.6062359162319098,0.014171269931752155,0.007428616548552033,0.0035556426558587626,0.003032203745915976,0.004538245804668609,0.014445023028365436,0.9359738489823589,0.027623014626832185,0.015494654715818346,0.007219739241529409,0.006789160225617433,0.0068995822078437,5372.0,817.9,0.37
