,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
1265,톱텍,0.19095023143602557,0.5515062884455495,0.1108430652621971,0.010016003862220893,0.01559827717386939,0.017804479957305806,0.030536363726986492,0.010093962676682671,0.21054347622380065,0.3970518093646939,0.05481021761579719,0.09315549622066616,0.02581001601242579,0.02319452727447808,6008.0,1401.4,0.22
1266,한국알박,1.0,3.944997746756701e-307,1.127443173738273e-307,1.804259505224365e-308,2.2753257166363674e-308,2.395332724878145e-308,2.941412477734861e-308,9.266675008172864e-308,0.7785931647594903,0.03293976361532532,0.055531507966923035,0.013768921211856461,0.00572835252773981,0.005890892580015894,6032.0,3206.6,0.11
1267,파킹클라우드,0.09801892054946552,0.14790841942427313,0.3503877200326247,0.007428991666518412,0.012166206695470212,0.016541111918069288,0.016834785058017086,0.005526990019578852,1.0,3.3263423552764488e-307,3.3502472545294053e-307,1.0648355457432333e-307,4.1287833368767325e-308,4.1664831355210863e-308,4346.0,675.4,0.36
1268,엘아이에스,0.1804019033584187,0.34478575765086594,0.18111856611411223,0.011637826639618359,0.017715283898742572,0.02279334435061069,0.02787997231559001,0.010103713313862941,0.6792355068965488,0.029611266367776425,0.04256550887214272,0.012259081443457581,0.005148978624936226,0.00526773947904916,10007.0,505.5,0.6
1269,한국서부발전,0.11055519519708633,0.26120375887182196,0.07609700753931359,0.005827626933127477,0.009271395352071814,0.011657216085641358,0.014340821482230977,0.006097749625410899,1.0,8.869046741942562e-308,8.730005701644165e-308,4.0149747392919565e-308,1.8097504053415793e-308,1.842048950873685e-308,8489.0,5000.0,0.13
1270,성동조선해양,0.11601628460397569,0.09141339917075392,0.08322112803720755,0.462852291019495,0.04897760438703486,0.03158982874870172,0.020388251772242683,0.006525735684215125,7.306479075047035e-307,4.032551601804607e-307,1.83774432923167e-307,1.0,3.3188134145117507e-307,3.836630779722952e-307,4817.0,60.6,1.38
1271,이브자리,0.25961407866361547,0.3784435842029612,0.03712339958300631,0.005285291179514582,0.006657733628556008,0.007267286054141724,0.00964923755356509,0.013963229841620652,1.0,1.0008852122443828e-307,1.0527278159425156e-307,4.479873737087284e-308,1.990377765836543e-308,2.0314912682733253e-308,3082.0,620.3,0.8200000000000001
1272,태양금속공업,0.1331798342047142,0.1752438649500701,0.3545265740302338,0.01491662647921438,0.03210285179024493,0.031316160671689804,0.2102536443120992,0.006904640288223649,0.3821541737240953,0.0663350987656477,0.13419504871660964,0.02447526492718863,0.008780169032851295,0.009147580675162695,6408.0,2976.7,0.15
1273,동아오츠카,0.4942536539385071,0.05212116187014041,0.01699149607433871,0.002871489930343489,0.003547275266456027,0.003718337623849297,0.004374628267765212,0.014262677900675674,0.6077344986079926,0.0329632060681752,0.04767739018778576,0.014276662511203169,0.006032010872598957,0.006217417036336327,6032.0,2938.6,0.07
1274,아미코스메틱,0.8799127396683886,0.06406710673523201,0.0217757798503247,0.003827743646651369,0.004617651134877167,0.004818917874956655,0.005599493162052959,0.015380567927516737,0.9049845709573453,8.78952711478059e-308,8.844839255599779e-308,3.9621528228005894e-308,1.7765514022316337e-308,1.810092122587582e-308,4563.0,198.4,0.7000000000000001
