,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,dadv topic8,average_salary,total_sale,turn_over_rate
1062,이랜드월드,0.7035763509188452,0.04242961631963841,0.008622196658592155,0.026847641080811863,0.007209861033456251,0.7025361976927396,0.045859817410719636,0.022580967985647547,0.006056956431421301,0.004921573603934711,0.005305852083582427,0.004628106031514905,0.004607909458287895,0.005088825671647923,1981.0,1200.0,1.14
1063,삼성전기,1.0,1.0409712694235059e-307,2.1711969324851627e-308,5.914053681764624e-308,1.8757367827868006e-308,0.8161594851038643,0.037989448751900745,0.017744263084625924,0.004759638989622364,0.003768803897381189,0.0040957111499847175,0.0035164615811979997,0.003488431049752526,0.003931693902418755,4960.0,7200.0,0.1
1064,현대모비스,0.740583781604728,0.021968515972145195,0.004677099518376298,0.012931080052938509,0.003980343765031817,0.7782908259259707,0.045085517880740465,0.020505302525580037,0.005387787354577559,0.0042524143267245445,0.004628012551599702,0.003936608930192124,0.0039053421244113515,0.00449270563138303,10520.0,27300.0,0.07
1065,현대제철,0.7523766356687431,0.021842895461943023,0.004753444397938694,0.012866710004958933,0.004107148639454336,1.0,2.2119518239915977e-307,1.0313575120871784e-307,2.7737182301969565e-308,2.191232722122774e-308,2.3828239673915467e-308,2.04509447300124e-308,2.0276369279302555e-308,2.2843391318265905e-308,10707.0,20000.0,0.08
1066,두산에너빌리티,0.9212713546295671,0.011839222093596355,0.0026423099079886077,0.0065882148722098705,0.0023393923414455967,0.7046556114710659,0.050466531508609025,0.02309108994841472,0.0060664749583765965,0.004804458796354874,0.005221193269804771,0.004456571048390138,0.004415896837948688,0.0050706311286750115,6132.0,3600.0,0.09
1067,엘지생활건강,0.5264362133834436,0.018332522921812096,0.003916215076119184,0.010153921440928197,0.0034437750799621077,5.9720943346786e-307,3.810537204800534e-307,1.0,1.2386335214195368e-307,1.4128811167223495e-307,1.5795819484418396e-307,9.401284003627236e-308,8.654146496804429e-308,4.1771747200623855e-307,8203.0,5000.0,0.08
1068,기아,1.0,1.1349280802410334e-307,2.34582584323728e-308,6.692797110384818e-308,1.967212862639693e-308,0.07915251530539257,0.05099445700800191,0.6207533362640105,0.018781100463645676,0.021367589131734126,0.026330777603727783,0.012968730673833985,0.012224643037292352,0.07027003258926243,6132.0,41000.0,0.08
1069,한국수력원자력,1.0,8.211565443641641e-308,1.7785822036374743e-308,4.651818137116411e-308,1.544531661192159e-308,0.4275671575933108,0.07144724994697974,0.024792232609193103,0.006624586558073047,0.004613518624916741,0.005213623179931352,0.004138673063155476,0.004060290429939223,0.005015186767882351,8587.0,9300.0,0.11
1070,바디프랜드,1.0,6.876450068087692e-308,1.5339582926417387e-308,3.892153482275449e-308,1.3587316860961663e-308,0.12238513150621654,0.08387002000333568,0.38166509507648766,0.02845776986058406,0.024730043501421387,0.02985282751590786,0.016674196864436223,0.015616319476173392,0.05326259383212055,3994.0,5548.8,0.42
1071,와이지-원,0.7135041927471453,0.14295491851930214,0.019714469898847155,0.11060665256280572,0.013219766271899714,0.7473787955011342,0.05008169428522303,0.01983574456806118,0.005560795511895887,0.004039544511132935,0.004518910758540598,0.0036903783911250267,0.003672834630422938,0.004234612269817078,4169.0,3308.7,0.3
1072,유라코퍼레이션,1.0,2.5802682243524917e-307,4.388831141618667e-308,1.9681647773485944e-307,3.198624479640356e-308,0.281525427459904,0.3813109455471594,0.059983241525121224,0.014546344313870673,0.008995400447993346,0.010525052287461882,0.00767381629339601,0.007521597120743529,0.01042956664096451,4847.0,20.2,0.47
1073,동원에프앤비,0.5242074291933188,0.014238256244688942,0.0031301356729068145,0.007872065341599363,0.002801569852569763,1.0,3.776540873098328e-307,1.3974469182071362e-307,3.599691915233507e-308,2.61329176525108e-308,2.9146548082945644e-308,2.3499778889297865e-308,2.3123281971517174e-308,2.861416330369432e-308,4266.0,1800.0,0.17
1074,LF,0.8525531350142128,0.017821217580860166,0.003777926307616309,0.010201259634860967,0.0032246028140435075,0.6743334572502758,0.14835877620015114,0.045712038418933516,0.012072559847624079,0.008142305934929962,0.009294220241676662,0.007208767100168508,0.007087643885650319,0.008971169464336555,6267.0,1100.0,0.38
1075,코리아써키트,0.32731560835305185,0.3116709094079456,0.037479151559356785,0.12438461555546745,0.02039561732760288,0.1798724886567115,0.14159347603704558,0.2770593471055969,0.04104682151300328,0.02399482139454923,0.030122022928105573,0.017651151856554755,0.016631263006168562,0.036915225366116654,4809.0,6470.7,0.35
1076,삼성엔지니어링,0.6702060757314856,0.038950426939930914,0.008019091452924303,0.024337184592032927,0.006764478735217399,0.5619215683783101,0.0500422319648811,0.021709084521171394,0.005745439501613515,0.004434790757872941,0.004863592740896122,0.004079100984982616,0.004049710200961531,0.004699891641542085,10966.0,5100.0,0.12
1077,한국콜마,1.0,8.108690920625545e-308,1.766363327064176e-308,4.519793139433512e-308,1.540447982882767e-308,0.8390577564773634,0.08899308850525833,0.03280613690659165,0.008469625470979444,0.006141615266654647,0.0068549027568976665,0.005521176957970621,0.005437560909068001,0.006718136749216217,5886.0,6328.2,0.16
1078,세아상역,0.7594199999531202,0.019566426574257636,0.004378438004443226,0.010896200969035076,0.003923427108615499,1.0,3.2603526505001853e-307,1.3052346944473378e-307,3.4508087776717724e-308,2.5729457817339595e-308,2.851672447421776e-308,2.3439183323961977e-308,2.316681285845833e-308,2.7564654579268226e-308,6032.0,2000.0,0.37
1079,해태제과식품,0.14818853037322652,0.4935890962172888,0.04500042689006567,0.04671035934887752,0.01544778116495911,5.54373761496265e-307,3.2728303412752027e-307,1.2187751283372865e-306,1.1091980563537169e-307,2.141731328120552e-307,1.9237856066500826e-307,1.246441127001537e-307,1.115707613789217e-307,1.0,5097.0,5360.1,0.2
1080,오뚜기,7.945710000230714e-307,1.0,1.0909619880769932e-307,3.4574659320851683e-307,5.297895386963795e-308,0.17331771341884997,0.21557717185465775,0.08938169206440971,0.03194764604432069,0.0117832178524863,0.015572301675538587,0.009480568914942549,0.009223999525778083,0.013580580409769132,4850.0,2400.0,0.11
1081,캐논코리아,0.2307385801604679,0.006492745670392203,0.0014470466195926973,0.0036407821040987725,0.0013024189073203522,0.6925254511579493,0.041195902562812296,0.020619826362156663,0.00548609780992327,0.004509350863882511,0.0048417652640465195,0.004249871872047525,0.00422908149952152,0.0046660319901658445,5315.0,6125.0,0.23
1082,한솔섬유,0.88237606274578,0.06464495681299606,0.009674897898551587,0.036363442891930796,0.006940639650741773,0.4167672020773969,0.11981562313509343,0.03488262688365461,0.010227599879871343,0.006454587305113631,0.007518222084258295,0.005722076587756172,0.005643637160696388,0.006913914067426137,1540.0,24.1,1.2
1083,에스엘,0.5702450903005402,0.011987019289222339,0.002684472541310248,0.006716987424405545,0.002375309394325166,0.6482978117511078,0.0578667621938737,0.024338254252430507,0.006712768026248431,0.0050278021250141575,0.005569986981168561,0.004622186708742833,0.004601701950318208,0.005262733287961196,2129.0,8.8,0.67
1084,한국수자원공사,0.7145243650353476,0.018245884518376925,0.0039051362862292127,0.010476201478702318,0.0033604669477459736,0.511651999469956,0.04340857511127484,0.01868999797956916,0.005027245097377306,0.0038215740427850614,0.0042054190486923,0.0035262743413546596,0.0034779995886625777,0.004034259374800249,7402.0,4000.0,0.15
1085,한국후지필름비즈니스이노베이션,0.7882589103359874,0.02622871781207059,0.005523742256713721,0.015627490473423565,0.004661204546507548,0.15050415456336177,0.1625768912868306,0.42486715891274146,0.02410969815457554,0.012867552625891843,0.01605958508184663,0.010037008301061792,0.009706810781920682,0.01711135810012847,5441.0,2434.0,0.18
1086,코스맥스,0.23161943547561561,0.008542576819767417,0.001856799782846249,0.005114125528973119,0.0016232209763261515,0.6095226096412784,0.15690946940997202,0.05133107028612099,0.013254288673429739,0.009171852435769162,0.010373780223006647,0.008148621826854345,0.007993421620012568,0.0101544668074133,6255.0,8531.5,0.19
1087,르노코리아자동차,0.7018685058050599,0.17001010389066357,0.022948560834515755,0.08934282926900002,0.015830000200760648,5.038138468560737e-307,2.7673250549675754e-307,5.0055657760796384e-307,1.0151122957810736e-307,1.0,2.729988477141628e-307,2.3509242256554226e-307,2.0929782817631187e-307,2.3831068835715975e-307,6082.0,3900.0,0.26
1088,샘표식품,0.8127885886038477,0.014278276569246524,0.0031190876961069316,0.007834202005576888,0.0027404019316287767,0.8811892363585951,0.02909489545788999,0.013729505633775983,0.003706773374142634,0.002943557482595018,0.003197796252926107,0.002749985508305804,0.0027363000400346905,0.0030565162083778198,4635.0,3411.4,0.36
1089,대상,0.8801158498080482,0.05782918718447467,0.010308829016619905,0.044107853138112954,0.007638280852744316,0.7944808168218285,0.04810294886415925,0.02324960723433698,0.006211629013335112,0.005010966228789388,0.005415841353352965,0.004692446454318265,0.004671779589775068,0.005206470414883506,3905.0,272.2,0.2
1090,한세실업,0.8367295698956843,0.02572192855103697,0.0054139638108328305,0.01514418663014604,0.004582985418942832,0.14296533838248884,0.11866661149920124,0.3198457744097221,0.06646362737441025,0.02029332836147726,0.030411234818958844,0.014363873138356218,0.01377157275754253,0.027610599327087964,7677.0,1600.0,0.42
1091,일진글로벌홀딩스,0.8829506433673823,0.017138237929704807,0.0038248649879396627,0.009408013147837693,0.003395564968638751,0.655330725939642,0.0500596783926254,0.023682856758350693,0.006200973468372346,0.004988287208455272,0.00539269015402226,0.004648072621164314,0.004607474382429855,0.005248150246804418,5932.0,81.3,0.28
1092,효성,0.4944327369517712,0.04176456736063178,0.007332434068431597,0.022384810097613884,0.005664289814839925,0.9429343196663013,0.016595040276756175,0.007425364306643622,0.0019588348814197514,0.0015327611811297482,0.0016731947048682077,0.001415647446093286,0.0014052172474555596,0.0016202630919127557,5852.0,34.9,0.26
1093,금호타이어,0.7490186219712114,0.13536708743088216,0.017108265710704753,0.08705281383592153,0.011453211051280486,0.9349775921141178,0.026629615562861704,0.012149693226990558,0.003260870625240363,0.002556548908748409,0.0027891365553216934,0.0023733265142607813,0.0023597219180034024,0.002675137794884404,6951.0,2100.0,0.23
1094,유니셈,0.9137526803662878,0.045910381785401806,0.008088678617448115,0.026060083882418074,0.006188175348444133,0.43192494210810783,0.29849346219414236,0.07181577935531705,0.02133811461226201,0.012044430809274904,0.014479472704472815,0.010378206911989723,0.010215247704845203,0.013217023494632132,4473.0,2900.7,0.35
1095,에스케이실트론,0.5438227193698022,0.010214022524905416,0.0022754451087882654,0.005688475341707876,0.0020099448934711222,0.8191544694387043,0.10454941568918973,0.034983030888327535,0.009227659575871723,0.0064218026139567265,0.007265896695421239,0.005729881027326975,0.0056452185461141405,0.007022625525087776,10339.0,1800.0,0.11
1096,에이블씨엔씨,1.0,8.088856926781969e-308,1.7596827119728673e-308,4.496219976976398e-308,1.534266118505857e-308,0.4123999814862194,0.3243150617878868,0.051662033842952815,0.016424456653273366,0.009585128593217602,0.011436068148707788,0.00839334223334841,0.008341587178730655,0.010160522666881205,5598.0,1994.5,0.29
1097,크린팩토메이션,1.0,8.574667617323067e-308,1.8447360899924627e-308,4.877404794290414e-308,1.5943550903874595e-308,1.0,4.63112085271455e-307,1.6378085582536153e-307,4.3586800246913074e-308,3.080632050781568e-308,3.4690974158358333e-308,2.7688579559388524e-308,2.7259881374994536e-308,3.340324849853751e-308,5646.0,3185.6,0.24
1098,파리크라상,0.22508285347983611,0.16674535019970443,0.030299018880690327,0.26202039899090024,0.015327650619535643,0.646967562755268,0.0583303682315756,0.024290868799339053,0.006655426579791553,0.004979751700843681,0.005518153117734626,0.004569409522205795,0.004546218203931839,0.005232518489266454,4980.0,1900.0,0.47
1099,한국에스지에스,0.748857056457814,0.03319720046624223,0.0065699082227882385,0.01859451235315967,0.005434514139397972,0.5212875683318935,0.06386751526371165,0.025043034580544115,0.006555958424451516,0.004871266177157159,0.005406365428268053,0.004417553011614463,0.004370201943530421,0.005251472094151766,5815.0,1785.4,0.15
1100,엘엑스하우시스,0.6616686704168389,0.026934705696019225,0.005790631257104634,0.016175469686645363,0.004938152335671903,1.0,4.2314374673904126e-307,1.5712447154992929e-307,4.4632381528445265e-308,3.1347358087342595e-308,3.5397686127850623e-308,2.848179305167666e-308,2.8224970849879397e-308,3.29936844083589e-308,6082.0,3000.0,0.11
1101,미미박스,1.0,1.7166027433171963e-307,3.146138047626605e-308,9.946404747275442e-308,2.4461834941227657e-308,6.636620905913718e-307,4.95902061246995e-307,1.0,2.583518271065981e-307,1.2005096044085488e-307,1.839814335060007e-307,7.971556354135029e-308,7.631751549453329e-308,1.8463208806359095e-307,4379.0,325.0,0.55
