,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,average_salary,total_sale,turn_over_rate
1001,월급날,0.008835900406346946,0.547262227265922,0.0662416441328567,0.02459116997694999,0.023817879537465378,0.004156842050245414,0.009524803635264981,0.011875681523811134,0.7443002055124371,0.039856059792644415,0.013725155446309919,0.005238609132655174,0.005793642757542391,0.006753268587166014,0.0052335903470433435,4125.0,39.0,0.14
1002,이랜드시스템스,0.49774549787876027,0.16210881389653042,0.0745164716617483,0.043543273940773654,0.039955242833102284,0.13977844167989817,0.025268590180369154,0.0170836679288178,0.7728104786060016,0.03133024431042036,0.013408742446322272,0.005885884664851365,0.006212017321442727,0.006718916431701501,0.005902746076195763,5234.0,396.1,0.3
1003,드림인사이트,0.061462825191276445,0.174136574770579,0.15059412663375354,0.17225680075740946,0.1277207046085442,0.0069463177553855705,0.034467868894305746,0.02776772315431747,0.5139727644065037,0.24726364991172636,0.03562457900814834,0.011206475888779653,0.01333318141021965,0.0179254856186662,0.011139734565050711,3917.0,122.3,0.36
1004,씨아이솔루션,0.009160917673558805,0.5867068666093963,0.07159777344362098,0.024465391073293055,0.026482630072320844,0.003755266437577739,0.009127701553806253,0.013916364419122378,0.6399629504410438,0.03856054994818703,0.012371836995414852,0.004693451761371855,0.0052449345283242495,0.00623049046638731,0.004708907428345513,4036.0,127.1,0.53
1005,아이에스에프넷코리아,0.005818746272720867,0.08854074909021681,0.06487308376797979,0.031217601558665424,0.015040279778525685,0.002010478974022324,0.008410870911205291,0.007249835336574212,0.6987671788282667,0.028540194003419235,0.011411262174254998,0.004786915995357193,0.005140365804084189,0.005712353151880189,0.004799869893718241,3294.0,51.3,0.4
1006,알엠소프트,0.7064690688449324,0.11296302184281015,0.05600394621630872,0.03394653974458773,0.03016719987817978,0.02545157279662561,0.02175479846188133,0.013243852214674117,0.1909309608105457,0.1147387489324395,0.42621312453579674,0.02937093856684266,0.04289530567874861,0.055065679553441674,0.025544753519527563,2670.0,185.6,1.6
1007,에이텍시스템,0.007735830403130531,0.6807434935226627,0.06257778917977497,0.02219196496374579,0.02225402898613345,0.003243134399809027,0.007998128672786894,0.011208738743800717,0.13371116244917258,0.09110713082879421,0.5931702956268489,0.016985187525492055,0.023723939185295126,0.034303603324430575,0.015032411237681037,3875.0,162.3,0.32
1008,재능이아카데미,0.010325553889536264,0.5979996514578363,0.07474056538800308,0.026601416616418412,0.02834092670816575,0.004562156737665874,0.010409789521094498,0.014948258285107428,0.1598700233113106,0.09950378989201136,0.08442754336903703,0.02551889134403893,0.04707964654538952,0.2846406136560083,0.02398345477317727,2528.0,42.3,0.29
1009,위지언,0.009637558188902481,0.7009633653981174,0.07466837887796265,0.026872034276314904,0.026041227103725924,0.004457554610837437,0.010392405061616565,0.013314487152270222,0.8019836433933561,0.03503241433857055,0.013091352610807107,0.005264019205923318,0.005735884184000623,0.0065346329017251644,0.005265629181274648,4689.0,14.3,0.46
1010,잡플래닛,0.031211138800801765,0.16353734613001814,0.14764084647163644,0.15950788019296852,0.13202212652834402,0.005345807006004859,0.023424932824584917,0.023756715003410957,1.085821736859653e-306,1.0,2.899788988278151e-307,7.236334334171723e-308,9.731730993873143e-308,1.8270520035686646e-307,7.040461639842687e-308,4985.0,92.8,0.33
