,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,average_salary,total_sale,turn_over_rate
2009,상화,0.058143808602549044,0.13106661777433656,0.005257966019349759,0.0030963248611426816,0.001084577522868344,0.0009686312238734521,0.0010930403653264533,0.0013107512137941952,2.92242620739157e-307,3.695585840559573e-307,1.0,1.4458141816582853e-307,1.142650719797766e-307,4889.0,118.9,0.28
2010,예림당,5.258197126404602e-307,2.8760559308689673e-307,7.325436393133767e-307,1.5541104391709735e-307,1.2760814826303506e-307,6.733072822937704e-308,9.814485452581443e-308,1.0,0.21493590942937146,0.2547999888807598,0.0055398633678901636,0.01267857108094809,0.0065287541013682015,4719.0,158.7,0.14
2011,와이비엠,0.098432192207228,0.5474014747636659,0.012487859333005396,0.00730174454757892,0.002662819243035586,0.002416840792203402,0.002710864110070336,0.0030860801938896497,0.4389802612818817,0.2395217972146109,0.006429220723066899,0.01498581858650734,0.0074924747429472955,4336.0,1164.1,0.23
2012,양유,0.062487550403054766,0.042266952828437614,0.04651216110649486,0.015284415346227405,0.032562761338019046,0.2694131120459738,0.017436104203493463,0.013196832140328315,2.9185112915609627e-307,3.6955905024769045e-307,1.0,1.4709807187793423e-307,1.1639586551296404e-307,3824.0,49.0,0.12
2013,삼성출판사,0.49685184413095324,0.25896488441128174,0.023744959246263908,0.014466592416958562,0.004686494289378683,0.004096815608214546,0.004712307273470371,0.005907829307713189,0.7575913205862934,0.08517958072690422,0.00553157742205136,0.01204494970634273,0.005958703196414194,3403.0,562.2,0.38
2014,머니투데이,0.2070187735985823,0.5025099035469325,0.017157707994593676,0.01059164728767672,0.0035230037545233147,0.0031293501478909503,0.003610974454563245,0.004220241931512343,0.7348152956138738,0.16608333967962527,0.006221674911835545,0.014156863989555452,0.007073388295055097,6032.0,687.7,0.14
2015,비욘드마케팅그룹,0.3340122464402666,0.5319558751007067,0.02181802807369721,0.014361988999013921,0.004417409695331769,0.0038872086745448337,0.0045588572086704285,0.005349412120992025,5.3837981518126555e-307,1.0,6.2274377337349e-308,2.222988155068133e-307,7.987647801061625e-308,3647.0,225.5,0.08
2016,모티브플럭스인터렉티브,0.12286203656470879,0.08387297845440522,0.08937429759061497,0.029108588244768023,0.05641428854591008,0.38927464746234397,0.03148787293379255,0.025284141240261054,0.6137954275030807,0.31644655199550575,0.008220722334536855,0.01874051955207781,0.009513943559023613,3975.0,24.0,0.41
2017,토이온,0.11631157507210488,0.07310752251670458,0.11340330602008553,0.034866594593195355,0.09486786614509463,0.03700078564290358,0.0542141340395825,0.031785015257159696,0.1350161273588579,0.17287400159931637,0.5326769864617357,0.07256852217424015,0.0571470876035477,4145.0,62.8,2.63
2018,메이비원,0.13312728544119717,0.05158201992227717,0.0076445775471218926,0.0055949854962776425,0.0014866481648502278,0.0012766474636513433,0.0015449701633525057,0.001873539765628239,0.4184623625321308,0.31670348074880916,0.00873556767355942,0.020838966683967924,0.01019096979089226,2985.0,86.4,0.41
