,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
1447,인텍전기전자,1.0,2.784845573097115e-307,3.145252634417666e-308,2.495922105115017e-308,1.1302466961445647e-307,0.21355189764182816,0.1280870474195488,0.02760610815346169,0.013572907642552494,0.005518551379959929,0.0048558806073603095,0.004928384225191936,0.006562441379634096,4769.0,1090.2,0.21
1448,덴티스,1.0,8.290252791379507e-308,1.310719532795846e-308,1.176353012950201e-308,3.3255474650901996e-308,0.11635420251488789,0.08576148046079222,0.21947668561524344,0.056135063568237276,0.022718551808303938,0.01596889708982474,0.016621947511662016,0.04328572827747381,3455.0,522.4,1.14
1449,쎄크,0.9040987386359863,0.055815810841189056,0.009010414866711114,0.00810970576105817,0.022965329895055432,0.9313441305130683,0.03079373315313184,0.013990081737846808,0.008320594307758571,0.003914763278423775,0.0036820228717997006,0.003737087401532154,0.0042175867364387075,4718.0,297.1,0.32
1450,그린코스,0.1617431630807747,0.3458633154874809,0.041296274063478695,0.017154217166944315,0.05472509351881623,0.9037836927968013,0.043322135875086924,0.019577390739630753,0.011626333715524484,0.005460510702921043,0.005132386295008417,0.005208730956211,0.0058888189188160715,4104.0,11.6,0.77
1451,미원상사,0.3137829890274789,0.18690726232268282,0.02922702921505298,0.019670120626486307,0.23692569338690705,0.1363256843231305,0.10281869560790007,0.5883091662014609,0.05200538463290411,0.02329393715404379,0.01695912457767541,0.017862260638666996,0.04063624959150247,5608.0,3446.6,0.15
1452,신화인터텍,0.4228383444627204,0.0546632879375411,0.005028559379084142,0.004007184347416738,0.016990940875456228,0.5847919260309408,0.18761259651651627,0.04567061385222451,0.02371931668403463,0.009678717677254424,0.00865152582706324,0.008742193677270044,0.011229690490635205,4713.0,2178.4,0.3
1453,현담산업,0.3667601613957368,0.05779255708858275,0.007045862171889007,0.0055183827344943625,0.02790270848395533,0.44073224260841604,0.030837879322620814,0.012302941348706999,0.007064899607188353,0.003224430724946766,0.002983799173386939,0.0030301444860793047,0.0035511889784103543,5612.0,2620.2,0.17
1454,본느,1.0,9.091599999344023e-308,1.443255342771048e-308,1.293314463518923e-308,3.6951933219789775e-308,0.12299744426465073,0.09173333182955334,0.433544241512612,0.0607987313622423,0.02413085310343555,0.017163563100237287,0.01782520396445703,0.045054131640054625,2083.0,202.2,1.51
1455,제이오텍,0.17021341001523715,0.385255430442384,0.031053115920900133,0.015580286938215024,0.0716144959353815,0.7999766801377572,0.05142591058305634,0.023252551599519517,0.013811918658373076,0.006486331233448287,0.006096416932225692,0.006186701859257618,0.0069945363586297205,4102.0,518.7,0.15
1456,크리스에프앤씨,0.2595281588486475,0.017155413184901904,0.00283233741109338,0.0025938738142539616,0.007106382728903956,1.0,3.373669857789501e-307,1.0256709686043674e-307,5.584211542980153e-308,2.445060163852339e-308,2.217162281673576e-308,2.253010101311024e-308,2.7739602725967574e-308,4490.0,3759.4,0.48
