,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,dadv topic6,dadv topic7,average_salary,total_sale,turn_over_rate
2403,커리어케어,0.42333672942468037,0.04630309818263873,0.2407513557121635,0.018487306580820578,0.09196567347786361,0.063199302720846,0.05069297327872741,0.02942256077500579,0.035840999847254015,5.775837889190634e-307,3.3498509738827325e-307,2.6090004388619752e-307,1.3079455077181846e-307,1.0,1.066862972927848e-307,1.9457784252050342e-307,1.1777613234944751e-307,5812.0,221.9,0.37
2404,엘비휴넷,0.012606193226126041,0.09840307100404028,0.5013032676318617,0.004555622482159885,0.014166189856834818,0.08200338736133633,0.027677862111386595,0.02164245060081307,0.02335473243763452,0.8382866261314819,0.026206197093224977,0.01029517148367068,0.006068815767427875,0.005252833822919244,0.004504932675699488,0.004792669022195147,0.004573360194930527,4694.0,974.7,1.48
2405,바이오톡스텍,1.0,1.5224187367645955e-308,5.814749945558154e-308,2.7703257429649204e-308,1.2862971123597455e-308,1.7926007656351555e-308,1.055497979149062e-308,8.848105822908543e-309,9.737032701931047e-309,0.22314320724049017,0.6164791924746497,0.06597529110744822,0.026722925279133437,0.023910665708805495,0.013742949003193002,0.016427610043965903,0.013598159142314018,4068.0,326.7,0.33
2406,킨텍스,0.0344056376928861,0.05206836054572776,0.26501850071621047,0.009138624138507415,0.08567648825809107,0.11031747969644565,0.06307269324116185,0.03848481792488835,0.03496073136833869,1.0,2.2852341615106385e-307,6.651220769231347e-308,4.520785145932249e-308,3.421838445155214e-308,2.6018986450584605e-308,2.8901520305722046e-308,2.658282664507058e-308,6032.0,402.7,0.31
2407,한국평가데이터,1.0,2.494636748692007e-308,1.2116819776097223e-307,1.31054398692132e-308,3.4214628700172766e-308,3.275996339794699e-308,2.2556771024965506e-308,1.6547483879661475e-308,1.9757270973690756e-308,0.7006760179400076,0.1258258811956926,0.030923328902149896,0.019256057774620937,0.014481596304232494,0.01054322870715792,0.011843363198167074,0.010620879242560258,6032.0,1107.0,0.34
2408,쥬비스,0.26616886431590664,0.04610549061542028,0.18700766526816193,0.043201017383367804,0.04839546820627145,0.05650175758352928,0.036598185711816875,0.02765037147671109,0.0300633372559537,0.8054605608359824,0.06841416748167184,0.019149469555408957,0.012668248630082495,0.009502609853034045,0.007153245742628102,0.007965060824172239,0.00726156166000844,3924.0,867.8,0.49
2409,후니드,1.0,2.477752462922553e-308,1.200292873035815e-307,1.316079789592788e-308,3.341762867332559e-308,3.242686020220241e-308,2.2277845335775203e-308,1.6407825638416945e-308,1.9619680448385947e-308,0.1443972142632463,0.10695197909101992,0.40109323537771235,0.022071041181384927,0.05808412373510029,0.021353335955817402,0.026914476455777804,0.01997570042460911,3466.0,2076.0,0.56
2410,아이비에스인더스트리,0.18031912605998687,0.030713036112967478,0.13970878952706856,0.020057366316315623,0.035307486342454474,0.038929139499160395,0.02554703899542019,0.01949907675761798,0.023276769208427736,5.974296076607803e-307,3.701171534385978e-307,4.153291336492102e-307,1.1638666681091255e-307,1.0,1.2668160040578135e-307,2.275022259147922e-307,1.302743628825065e-307,2859.0,2007.9,0.93
2411,타이드스퀘어,0.02024303220005938,0.44126523679025176,0.20440649599845415,0.009559177652185249,0.02139008580943645,0.0732919650369149,0.026190730659067768,0.03586088658946056,0.03052292774686079,0.7276520836157478,0.04317676151570561,0.011947768471682274,0.00865329564314237,0.0063323144951885745,0.004699562946091927,0.00526848886422822,0.0048292095904094905,4889.0,93.0,0.35
2412,더메인즈,0.04551398592504114,0.010681915915456777,0.038245822563959066,0.8206709724919553,0.007967330208215485,0.012000400069017477,0.007067645935119504,0.005860301899716637,0.0062798367683720374,1.0,3.2587231370680686e-307,7.673216920018268e-308,6.161684407276893e-308,4.1726123531681375e-308,2.9444212877203485e-308,3.359462172215372e-308,3.0401592313484657e-308,1604.0,95.0,0.86
2413,인터비즈시스템,0.023729831171541253,0.030939207172600937,0.2612724520354491,0.00512563889688302,0.028495804818839073,0.06259750089920281,0.02875278776146474,0.0423031746281802,0.04049987845932259,0.7672936494115074,0.07000504955311215,0.018017056067394323,0.012841824861051567,0.009156993370077601,0.006693317677917581,0.007537668616629556,0.006828671301873178,3195.0,382.6,0.89
2414,파르나스호텔,0.8105647148818426,0.01818744660239649,0.07581142198664208,0.01784451908324108,0.017779791194636598,0.02214725298989599,0.013868254823496967,0.011096638518609842,0.012699959919238448,0.7558432437364957,0.05717338186667248,0.016054832410269664,0.010067505523265439,0.007768531501269005,0.005876809708141151,0.006522036614593529,0.005940930811262164,4568.0,2161.1,0.24
2415,커뮤니크,0.033517218658672535,0.057271273243165444,0.3773627585278256,0.008310704359079312,0.04990112460805704,0.10882824835341279,0.14336564693860304,0.03500104020219069,0.04144070979960475,5.949779708639347e-307,3.721646808783436e-307,4.677608141236999e-307,1.1205756384431276e-307,1.0,1.268623766362702e-307,2.190746213289188e-307,1.2783869963437542e-307,3891.0,135.7,0.46
2416,마이크임팩트,0.011872805345626023,0.19020049333373734,0.15727777265569753,0.005151700854596213,0.0135115045106922,0.06112914724944651,0.01940119261629726,0.020932070836865158,0.018021286664856966,0.06598691255551577,0.028267831318792108,0.02806095306614153,0.008895958516043103,0.0204074340447082,0.1283737483581275,0.06760633364043411,0.10206430284456983,1597.0,58.8,1.27
2417,웹투어,0.2941219752355981,0.04513793232477095,0.23232781290413262,0.021481370728578537,0.050581812001470175,0.056544638619515204,0.039759679589225785,0.029350105580223735,0.039027513698712116,0.9198094869476137,0.0335161735382409,0.013466850412569183,0.007814231467474692,0.006898432183455953,0.006020011430742043,0.006362765982223437,0.006112048037680046,3952.0,199.4,0.44
2418,조은시스템,0.02381159837575995,0.03427550704119786,0.34691075945237615,0.005139398682088452,0.018077957661071575,0.045064879561569,0.027680658165900197,0.030208944652752125,0.3104489342706201,0.8147068479722088,0.038074887747595064,0.014241415470950543,0.00858589981460554,0.00725914065750865,0.0060625855688814035,0.0065114638450965755,0.006162417833713218,4748.0,245.0,0.11
2419,피투피시스템즈,0.6422408641765813,0.03423366629037432,0.1312182339012247,0.05657980984010876,0.029380454783343186,0.04056139625272761,0.02380192524709007,0.020007069425929006,0.02197658008262107,1.5270836957013962e-306,1.0,1.4368086146143692e-307,1.2720008855520434e-307,7.153349781440438e-308,4.3696026740759605e-308,5.207592105906369e-308,4.454074479268557e-308,3463.0,93.1,0.97
2420,이지메디컴,0.10299122275244434,0.04298516772684721,0.48441272858509743,0.009879094683390866,0.05449659268034795,0.06309897901580235,0.05494130262597458,0.03246710773948955,0.055150411731946035,1.0,1.1077080911467343e-307,4.1018182595052585e-308,2.4522627243440587e-308,2.078164931415674e-308,1.7408104225874787e-308,1.867389929443803e-308,1.7669540892624093e-308,4600.0,6363.1,0.56
2421,에이스휴먼파워,0.2841846889063897,0.04949390887491899,0.37387959484806577,0.013919303938797227,0.057708324061199405,0.06862208418307972,0.047139503976130794,0.040719751473309855,0.06433283973810855,0.8839784599683974,0.04459329225406107,0.017814565413716867,0.010395614470942952,0.009152340077849893,0.007967577848764822,0.00843000689542528,0.008095473017570836,2918.0,839.8,1.17
2422,워시스왓,1.3571772228577576e-308,1.0,1.4869513344224167e-307,6.460763239682865e-309,1.5119424534858317e-308,5.795882171107381e-308,1.993163354163751e-308,2.25764287905447e-308,1.9754575013446324e-308,0.4968121225563239,0.09468298636858616,0.020696086204206952,0.017093790569541908,0.011060920370224766,0.007675254524474672,0.008809247872919626,0.007898567056010058,3337.0,132.6,1.04
2423,스파크플러스,1.0,1.5141661002868766e-308,5.781632028996957e-308,2.789426154275561e-308,1.273741233961012e-308,1.780434786951463e-308,1.048517140057067e-308,8.793659815660757e-309,9.68736189195921e-309,0.29640571652748426,0.01743839108568125,0.006107683708354277,0.003907841290271183,0.003151360410925799,0.0025472713612855274,0.002771658672217308,0.0025978048875038794,4256.0,436.1,0.44
2424,캘리스코,0.8697425430045695,0.01130535836023634,0.05938672575592403,0.005050787677504974,0.012308441796119389,0.014336300035751452,0.009622679885312967,0.007933771653185907,0.01031339183139526,0.648026800343607,0.11556048204056532,0.024041882007069547,0.01491600180371462,0.01091651847693697,0.007694478578451483,0.0087376056887761,0.00772710036298215,2191.0,701.8,1.63
2425,에스케이렌터카,0.019522039883131392,0.4244290712595521,0.2775496717104841,0.008223267801962704,0.022635527965780014,0.11571966507183507,0.032533798453478625,0.03626544379961219,0.030645966080979824,0.8469021797918757,0.049048429356397985,0.016218595349433356,0.010347007504534619,0.008296888887106335,0.006590358868549751,0.007207250515018664,0.006717857410625038,7429.0,1000.0,0.1
2426,토요코인코리아,0.4065392631725055,0.05487871401277568,0.24741643332649624,0.03636151554760574,0.06331618167957201,0.07017897750586752,0.044587380020419634,0.03516706748510298,0.04155446724965465,0.1273132859830981,0.1352210321639487,0.048159113733988235,0.0408547136455012,0.036870276919395255,0.011856035405684622,0.016538977558810786,0.012302844213387606,4262.0,414.4,0.15
2427,위티아,0.008701273019401498,0.8260210096248193,0.08258559213816592,0.004382962025574692,0.009365212068867137,0.030861022191418393,0.011219884770795737,0.014558031455158361,0.012305012705798873,1.0,1.4992840164114656e-307,5.269537834921127e-308,3.1675383240159695e-308,2.618303318603391e-308,2.143975367655476e-308,2.3177218083294264e-308,2.169396653436997e-308,4235.0,305.6,0.2
2428,리치빔,0.1862615385065726,0.02752496480399327,0.11070999162707534,0.030784793284639397,0.027066900086146223,0.033291360673749285,0.021182852618060303,0.016342729302322282,0.018035947686154283,0.41522231895683853,0.16565052124818824,0.03143692779144998,0.01862438535673623,0.013761739731053836,0.009481983213468718,0.010839807285783964,0.009489021835848098,3503.0,803.1,1.42
2429,유칼릭스,2.627412452211972e-308,8.954637838801409e-308,3.250171316135531e-307,8.48055647110922e-309,3.9594383633351865e-308,1.0,5.444861617745205e-308,5.343681822779257e-308,4.2595802457803613e-308,1.0,2.5881174645381285e-307,7.677509978075749e-308,5.105347775449387e-308,3.8404751026967463e-308,2.923439869341209e-308,3.2467330516768213e-308,2.9700256431473763e-308,3849.0,151.8,0.55
