,company_name,adv topic0,adv topic1,adv topic2,adv topic3,adv topic4,adv topic5,adv topic6,adv topic7,adv topic8,dadv topic0,dadv topic1,dadv topic2,dadv topic3,dadv topic4,dadv topic5,average_salary,total_sale,turn_over_rate
150,세보엠이씨,0.222078848763592,0.6215809846399476,0.05794501335947513,0.012490382930091123,0.009319518497442485,0.01331127394923419,0.020838031368597822,0.030009623573616764,0.01242632291800311,0.7818451898744783,0.027502488775084787,0.011140189083593204,0.011527131138934473,0.005004627293657949,0.005013271084397036,7112.0,4306.8,0.42
151,코레일테크,1.043217563420169e-306,1.0,1.3498959720365535e-307,3.1365640192904655e-308,2.49951044583062e-308,3.4008408359159095e-308,4.411964428342951e-308,5.439321866246945e-308,5.736524489611409e-308,0.6097253276531869,0.14255203798766758,0.03468434579303803,0.041632210759124974,0.013631878800388065,0.013299287379848578,4696.0,2440.9,0.76
152,한국종합기술,0.25606734585000446,0.029614992614204798,0.006689893831636996,0.0018864804734857743,0.001667138369532503,0.0019239960811534935,0.002339423406117097,0.002600801978156911,0.008341165729230592,0.9579434849567801,0.01924345927373411,0.007783174412554001,0.00804609706086267,0.0034842155321486543,0.0034995687639204913,2393.0,6.0,0.16
153,한국산업단지공단,0.6703157021390008,0.08108436979434867,0.01574353572368841,0.004172211064396773,0.003533932639257998,0.004396438222561873,0.005283356898563911,0.006088432627832666,0.028969252567789174,0.6159125128167473,0.18396899902583336,0.03760449684212698,0.043667951117460926,0.013537752837017766,0.013323357909398566,7509.0,4831.6,0.23
154,서한,0.8791644811876704,0.05937469044195535,0.017182132040354008,0.004944817753042825,0.004370923645956806,0.0050506499326944026,0.005927108739854667,0.006507320105979888,0.017477876152491467,1.0,1.1117208345097616e-307,4.1508807833101436e-308,4.451360536359244e-308,1.8270740557220845e-308,1.817687681970532e-308,6233.0,6088.2,0.28
155,다원앤컴퍼니,0.8959109740754178,0.05160233201042777,0.014950974732381914,0.004337675238743475,0.0038442056498986014,0.004391176062085919,0.005216266842539691,0.0057262369754402355,0.014020158413064948,0.4594076662854022,0.03154714254187237,0.009852785920193754,0.010723017348257792,0.0040774348786862796,0.004071219870609898,5124.0,2425.6,0.87
156,해안종합건축사사무소,0.5689222564104365,0.08444406172810984,0.0160902691241958,0.004511449292794524,0.003883784168419616,0.004571849884523643,0.005708474863709512,0.006432973081658192,0.018253239129176122,0.7702611528403004,0.14328295231811083,0.029477707943045443,0.03484305796479874,0.01115698772797248,0.010978141205771914,5931.0,1896.6,0.14
157,한솔이엠이,0.25657588822709015,0.1391919150471702,0.01784991056055515,0.004446103069808135,0.0037143861815447645,0.004743869956290493,0.0059466348484294605,0.006962656354311378,0.012367219098374547,1.0,1.0270629945876903e-307,3.9056574044309907e-308,4.126610589344939e-308,1.7229746045671226e-308,1.716596053143054e-308,2864.0,1747.7,1.18
158,동해종합기술공사,0.3812062124506131,0.34492777879814257,0.06599380331067958,0.014652060269896969,0.011594276487817407,0.016327895312397794,0.02016826106932549,0.02380687821939452,0.02067710916015512,0.39997223317061265,0.013593654500724287,0.005551355895721741,0.005740091255917826,0.0025027657955032,0.0025088415773548427,5671.0,904.5,0.25
159,교보리얼코,0.396058595862104,0.3349153218181872,0.037754317653465756,0.009114520842955358,0.007353291780269514,0.009772045791001866,0.012563834319088165,0.015287154994869817,0.02094979329351636,0.4318180636059162,0.01613724373290004,0.006256459484139791,0.006569147657087982,0.0027678676313597095,0.0027736883044999975,4721.0,1186.2,0.32
