,average_salary,total_sale,turn_over_rate
516,5992,9165.3,0.1
517,4972,445.9,0.27
518,3350,24.2,0.95
519,4682,1291.0,0.17
520,3707,1556.8,0.58
521,3011,6225.4,0.51
522,1928,65.7,0.33
523,1284,1646.9,1.63
524,2607,299.2,0.89
525,5969,1100.0,0.14
526,11264,8843.5,0.51
527,3697,212.9,0.48
528,4493,67.0,0.6900000000000001
529,3916,216.4,0.5
530,3854,2958.2,0.16
531,3422,718.4,0.67
532,2984,244.2,0.68
533,4861,502.7,0.25
534,2519,2461.8,0.59
535,3039,9528.2,0.33
536,4382,623.4,0.61
537,3997,849.7,0.68
538,1388,4895.8,1.74
539,4130,320.9,0.37
540,3388,85.0,0.47
541,1776,6280.9,1.4
542,2941,741.5,0.46
543,6032,1233.7,0.2
544,4336,1164.1,0.22
545,5401,683.5,0.48
546,5152,53.3,0.24
547,3336,556.5,0.88
548,3280,1314.1,0.61
549,4247,1011.3,0.31
550,2151,6735.0,0.8300000000000001
551,3075,200.0,0.88
552,1916,1329.7,0.71
553,3393,228.2,0.41
554,4213,1179.8,0.27
555,1991,1475.2,1.66
556,10827,2047.4,0.54
557,3518,1763.5,0.37
558,11725,2845.6,0.48
559,4765,2287.7,0.5
560,8225,1543.7,0.27
561,3537,77.3,0.56
562,3844,442.0,0.31
563,4905,305.4,0.5700000000000001
564,2343,419.2,4.26
565,3468,96.6,0.46
566,3250,341.9,0.48
567,4137,1838.9,0.3
568,7295,906.1,0.22
569,3070,30.0,1.14
570,3739,56.9,0.51
571,7641,1652.3,0.63
572,3015,63.5,0.09
573,3990,73.1,0.36
574,4843,126.6,1.84
575,2956,135.4,1.47
576,3997,849.7,0.6900000000000001
577,5751,201.0,0.25
578,4221,163.8,0.33
579,3592,233.3,0.33
580,4216,183.8,0.18
581,2856,28.2,0.67
582,2590,76.2,0.78
583,5925,2106.5,0.46
584,8053,1153.0,0.11
585,4771,336.0,0.36
586,4167,346.4,0.39
587,3733,161.3,0.46
588,3402,34.1,0.52
589,5641,866.0,0.94
590,3782,105.7,0.28
591,3297,80.4,0.28
592,6032,4285.1,0.19
593,6032,1900.4,0.14
594,4593,98.8,0.34
595,4210,769.1,0.33
596,4257,85.1,0.5700000000000001
597,4171,1668.3,0.67
598,3786,89.3,0.54
599,9073,4133.0,0.2
600,5240,181.9,0.2
601,5748,2396.2,0.2
602,6015,716.2,0.45
603,5450,743.0,0.32
604,5484,4595.9,0.21
605,4544,332.0,0.24
606,3989,228.6,0.22
607,3781,1077.1,0.19
608,5721,2241.2,0.26
609,10327,1800.0,0.18
610,6082,8772.1,0.2
611,6035,767.5,0.2
612,5466,368.1,0.22
613,4159,192.8,0.3
614,5012,398.2,0.28
615,4474,2396.4,0.23
616,4062,40.5,0.81
617,14717,2290.2,0.3
618,5023,39.6,0.21
619,5630,2052.0,0.6900000000000001
620,1977,226.6,0.66
621,3692,188.3,0.29
622,5664,178.5,0.17
623,4543,1136.7,0.71
624,6032,1822.8,0.13
625,4892,657.1,0.2
626,3816,561.9,0.44
627,12717,2100.0,0.13
628,6662,1342.3,0.39
629,4346,1466.6,0.35
630,5891,2010.2,0.18
631,3572,269만원,0.26
632,5274,344.9,0.23
633,7727,2784.2,0.16
634,6927,2008.7,0.18
635,4630,1037.3,0.16
636,7384,2727.1,1.12
637,4114,116.9,0.36
638,5389,1035.8,0.2
639,5319,482.3,0.24
640,6032,6097.2,0.15
641,4022,155.7,0.85
642,3355,78.7,0.67
643,4232,466.1,0.48
644,9628,764.0,0.28
645,5277,2882.6,0.18
646,4105,153.6,0.31
647,4693,972.2,0.32
648,2902,22.9,0.77
649,4037,2361만원,0.5700000000000001
650,3776,32.0,0.44
651,6032,1819.5,0.44
652,5498,819.0,0.22
653,4488,122.9,0.32
654,3097,101.6,1.26
655,4884,212.5,0.25
656,4448,107.2,0.21
657,5123,494.3,0.32
658,5498,935.3,0.2
659,5320,67.6,0.28
660,10067,12800.0,0.08
661,13481,5000.0,0.06
662,10936,3800.0,0.08
663,9831,18400.0,0.09
664,13257,5000.0,0.32
665,5100,3137.8,0.21
666,6252,9126.0,0.14
667,12717,2100.0,0.15
668,3859,64.8,0.65
669,11366,2100.0,0.19
670,6572,1952.5,0.19
671,8368,2809.1,0.33
672,6082,5556.4,0.15
673,6032,2806.3,0.14
674,14443,12100.0,0.08
675,6399,1993.5,0.17
676,6082,1900.0,0.12
677,4618,791.1,0.81
678,3502,4680.0,0.44
679,6032,5582.1,0.25
680,3410,235.4,0.79
681,6835,1180.4,0.18
682,5832,4714.8,0.37
683,6082,2000.0,0.13
684,8264,3095.9,0.12
685,1285,1.9,0.67
686,9336,1700.0,0.07
687,6082,5969.7,0.14
688,4513,876.4,1.25
689,4369,905.6,0.26
690,6082,2389.3,0.13
691,2778,10.8,0.47
692,5463,6255.7,0.49
693,8535,2729.0,0.16
694,7470,529.7,0.13
695,3061,68.5,0.67
696,7443,1300.0,0.23
697,5253,459.5,0.21
698,5356,2051.3,0.39
699,8621,1800.0,0.09
700,3305,1261.9,0.78
701,9691,4229.7,0.25
702,3456,2207.5,30.83
703,5581,2049.1,0.2
704,7384,4853.5,0.2
705,4069,337.6,0.8300000000000001
706,5799,2548.4,0.36
707,5870,702.0,0.07
708,3861,1163.9,0.27
709,3535,9.9,0.26
710,4594,277.9,0.19
711,6549,5260.9,0.12
712,4814,965.2,0.21
713,6665,2626.5,0.12
714,3523,36.2,0.45
715,3185,7.8,0.49
716,4859,354.1,0.31
717,4466,325.1,0.44
718,5231,1896.6,0.42
719,4978,5982.2,0.24
720,5632,2477.7,0.27
721,3931,195.4,0.27
722,6032,558.8,0.39
723,4607,230.9,0.4
724,4081,526.0,0.89
725,3574,263.4,0.26
726,4552,288.1,0.26
727,3958,6491.1,0.18
728,6082,2855.9,0.04
729,3608,182.5,0.36
730,6786,1200.0,0.22
731,5319,337.0,0.32
732,6032,776.1,0.11
733,4836,141.2,0.4
734,4468,2236만원,0.42
735,7992,2863.2,0.25
736,3674,229.7,0.26
737,11204,4100.0,0.08
738,3155,111.9,0.31
739,6032,1721.6,0.08
740,4438,642.8,0.28
741,5204,263.4,0.25
742,3195,746.3,1.38
743,4462,221.9,0.4
744,4775,442.5,0.62
745,6398,1747.2,0.15
746,5690,582.5,0.19
747,4241,227.8,0.46
748,5764,966.7,1.67
749,4759,1.6,0.88
750,5597,180.1,0.22
751,5155,366.3,0.14
752,3580,7.1,1.19
753,4686,695.6,0.34
754,2154,134.7,2.57
755,6907,1250.0,0.16
756,6742,1010.3,0.18
757,5724,935.3,0.19
758,5777,229.4,0.45
759,5883,359.5,0.18
760,5300,178.9,0.75
761,5253,5258.0,0.19
762,6090,475.3,0.16
763,6032,2849.0,0.12
764,5018,318.0,0.44
765,6151,562.3,0.22
766,4145,158.4,0.36
767,3642,2886.0,0.5
768,5227,313.6,0.15
769,3765,68.4,0.47
770,3795,560.7,0.31
771,6032,1573.4,0.14
772,5326,149.3,0.32
773,4173,61.0,0.22
774,4572,111.2,0.25
775,5417,543.3,0.19
776,3289,110.1,0.87
777,5782,397.7,0.56
778,5022,412.6,0.14
779,5106,156.6,0.25
780,4307,887.3,0.27
781,10749,1000.0,0.2
782,3290,182.0,0.46
783,5046,1089.3,0.18
784,3677,290.6,0.16
785,4201,21.5,0.12
786,6195,297.2,0.41
787,5034,2909.5,0.32
788,3762,172.8,0.47
789,6032,956.2,0.13
790,3278,172.1,0.53
791,5055,314.5,0.4
792,2371,2.5,1.2
793,4465,118.6,0.21
794,4779,573.7,0.39
795,7312,287.3,0.07
796,5388,365.9,0.23
797,3500,270.1,0.03
798,3727,150.0,0.77
799,3563,97.9,0.35
800,1,211.1,1.0
801,5046,130.4,0.51
802,3408,17.2,0.43
803,5861,312.1,1.17
804,4429,1930.8,0.27
805,4499,191.3,0.27
806,4458,73.5,0.35
807,7231,2511.2,0.14
808,5869,3701.9,0.32
809,4071,244.9,0.54
